,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,35.6,0.12,0.07,0.06,0.06,0.08,0.3,0.29,0.35,0.41,,0.43,0.57,0.33,0.3,0.46
e_1,0.06,36.3,0.06,0.07,0.07,0.05,0.25,0.28,0.78,0.43,0.36,0.31,0.6,0.33,,0.46
d_1,0.06,0.06,37.29,0.08,0.06,0.05,0.31,0.32,,0.69,0.5,0.34,0.61,0.37,0.43,0.59
c_1,0.07,0.07,0.06,43.62,0.13,0.06,0.28,0.28,0.36,,0.55,0.33,0.53,0.41,0.32,0.49
b_1,0.08,0.07,0.07,0.06,51.43,0.13,0.3,0.26,0.58,0.28,0.31,,0.71,0.27,0.32,
a_1,0.07,0.05,0.05,0.06,0.07,77.37,0.4,0.27,0.21,0.33,0.36,0.35,0.86,,0.5,0.69
h_1,0.42,0.22,0.23,0.27,0.25,0.25,27.92,1.56,1.49,1.32,1.73,1.24,,1.04,1.82,2.38
g_1,0.22,0.25,0.35,0.25,0.28,0.42,1.11,31.7,0.93,1.17,1.78,1.47,1.89,2.04,1.63,
d_0,0.27,0.33,,0.74,0.41,0.5,1.45,1.54,17.41,1.9,2.52,1.84,2.66,2.15,1.41,2.98
c_0,0.39,0.44,0.3,,0.31,0.32,1.47,0.9,1.66,19.12,1.9,4.68,2.16,2.86,2.25,2.67
f_0,,0.23,0.35,0.35,0.4,0.28,1.74,1.35,1.56,2.59,20.96,1.53,4.13,1.54,4.44,4.2
b_0,0.32,0.28,0.46,0.33,,0.27,1.42,1.54,2.36,1.53,1.53,23.23,3.34,3.69,1.28,3.41
h_0,0.79,0.46,0.58,0.45,0.48,0.49,,3.2,3.96,2.93,2.76,2.76,,1.69,2.2,8.58
a_0,0.39,0.4,0.36,0.4,0.32,,1.04,1.26,2.19,1.61,1.55,,3.66,30.77,2.1,4.09
e_0,0.43,,0.4,0.41,0.34,,2.27,1.1,2.22,1.85,1.92,1.76,4.05,1.77,30.71,
g_0,0.4,0.56,1.05,0.46,0.55,0.59,2.69,,1.87,3.95,3.35,3.33,3.79,,2.81,
