,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.52,0.79,0.78,1.05,0.92,0.65,1.02,1.07,1.65,0.97,0.96,1.22,1.23,0.91,0.96,1.13
d_1,0.97,1.54,0.97,0.7,0.78,0.76,1.0,0.97,0.8,1.51,1.17,1.02,1.14,0.91,0.97,0.94
f_1,1.38,0.86,1.55,0.91,0.73,0.6,0.95,0.92,1.08,1.0,0.97,0.62,0.84,0.62,0.89,1.03
c_1,0.88,0.99,0.88,1.58,1.37,0.77,0.97,1.02,0.88,0.68,0.77,0.97,1.18,0.78,0.71,0.85
b_1,0.79,1.01,1.04,0.77,1.62,1.4,1.07,1.01,1.01,1.15,0.9,1.0,1.19,0.99,0.62,1.03
a_1,1.02,1.04,1.18,0.99,0.7,1.75,1.22,1.11,1.14,1.19,1.3,1.02,1.3,0.98,0.88,1.17
h_1,1.13,1.25,1.38,1.14,1.06,0.89,1.85,1.5,1.23,1.18,1.15,1.27,1.23,1.23,1.07,1.65
g_1,1.06,1.55,1.01,1.12,1.04,0.92,1.18,1.83,1.26,1.31,1.3,1.68,1.3,1.24,1.02,1.11
d_0,1.02,1.05,1.06,1.83,1.14,1.03,1.39,1.31,1.73,1.05,1.02,1.29,1.46,1.21,0.97,1.36
c_0,1.26,1.17,1.33,1.13,0.85,0.91,1.44,1.38,1.43,1.77,2.12,1.4,1.65,1.25,1.51,1.23
b_0,1.18,1.22,1.34,1.22,0.86,0.79,1.47,1.32,1.51,1.25,1.82,1.44,1.64,1.22,1.98,1.49
f_0,1.0,1.34,1.1,1.29,1.08,1.1,1.32,1.28,1.58,1.25,1.33,1.81,1.68,2.14,1.09,1.39
h_0,1.09,1.36,1.7,1.21,1.09,1.04,1.13,1.71,1.46,1.31,1.49,1.3,1.25,1.29,1.14,1.58
e_0,0.94,1.47,1.53,1.35,1.22,1.13,1.38,1.51,1.51,1.35,1.39,1.12,1.75,1.86,1.27,1.51
a_0,1.19,1.3,1.36,1.44,1.42,0.71,1.56,1.46,1.67,1.22,1.34,1.57,1.76,1.39,1.89,1.54
g_0,1.19,1.7,1.22,1.37,1.09,0.96,1.45,1.36,1.44,1.53,1.33,1.85,1.71,1.53,1.2,1.26
