,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.91,0.33,0.4,0.22,0.26,0.18,0.28,0.55,0.24,0.28,0.27,0.23,0.3,0.19,0.23,0.12
f_1,0.56,0.91,0.28,0.26,0.23,0.18,0.27,0.28,0.2,0.27,0.15,0.22,0.25,0.16,0.22,0.11
c_1,0.3,0.31,0.9,0.27,0.48,0.19,0.26,0.29,0.2,0.13,0.25,0.17,0.29,0.16,0.24,0.14
d_1,0.32,0.38,0.22,0.91,0.25,0.19,0.32,0.18,0.24,0.49,0.27,0.27,0.31,0.17,0.29,0.16
b_1,0.29,0.31,0.29,0.3,0.9,0.42,0.3,0.28,0.24,0.24,0.27,0.15,0.28,0.15,0.19,0.15
a_1,0.32,0.29,0.3,0.38,0.29,0.89,0.3,0.3,0.26,0.27,0.28,0.24,0.27,0.1,0.21,0.18
h_1,0.33,0.46,0.34,0.36,0.28,0.19,0.62,0.28,0.34,0.29,0.27,0.22,0.24,0.19,0.3,0.17
d_0,0.34,0.34,0.64,0.23,0.29,0.18,0.32,0.51,0.25,0.18,0.26,0.21,0.3,0.21,0.23,0.19
g_1,0.33,0.34,0.34,0.51,0.27,0.19,0.34,0.31,0.6,0.28,0.42,0.23,0.27,0.17,0.19,0.18
c_0,0.41,0.42,0.23,0.38,0.21,0.17,0.38,0.37,0.28,0.52,0.32,0.5,0.32,0.24,0.28,0.19
f_0,0.32,0.31,0.39,0.35,0.3,0.17,0.37,0.34,0.27,0.3,0.47,0.28,0.37,0.2,0.28,0.36
b_0,0.38,0.43,0.36,0.31,0.2,0.14,0.37,0.41,0.26,0.33,0.28,0.52,0.32,0.44,0.24,0.2
h_0,0.36,0.47,0.3,0.38,0.3,0.2,0.25,0.31,0.33,0.32,0.26,0.26,0.23,0.2,0.33,0.18
a_0,0.39,0.39,0.39,0.3,0.28,0.15,0.39,0.4,0.27,0.28,0.31,0.29,0.32,0.44,0.24,0.21
g_0,0.33,0.32,0.28,0.5,0.3,0.18,0.35,0.3,0.23,0.36,0.45,0.28,0.29,0.18,0.23,0.22
e_0,0.28,0.41,0.38,0.42,0.3,0.15,0.36,0.33,0.29,0.3,0.26,0.24,0.36,0.23,0.28,0.41
