,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,3.9,0.42,0.41,0.31,0.36,0.47,0.81,0.11,0.67,1.51,0.89,0.78,0.89,0.95,0.84,0.87
e_1,0.34,3.98,0.37,0.49,0.35,0.4,0.68,1.52,0.77,0.73,0.78,0.91,0.87,0.89,0.28,0.75
f_1,0.41,0.7,4.05,0.41,0.28,0.38,0.79,0.71,0.88,0.83,0.15,0.81,0.68,0.74,0.55,0.63
c_1,0.39,0.43,0.41,4.23,0.73,0.32,0.61,0.74,0.63,0.15,0.81,0.59,1.06,0.67,0.57,1.06
b_1,0.41,0.33,0.35,0.43,5.08,0.77,0.86,0.69,0.66,0.75,0.76,0.13,0.77,0.56,0.88,0.99
a_1,0.41,0.4,0.26,0.36,0.48,6.63,0.8,1.0,0.78,0.87,0.96,0.82,0.91,0.21,1.01,0.79
h_1,0.69,0.5,1.15,0.74,0.58,0.45,5.31,1.28,1.75,1.34,1.2,1.28,0.54,1.29,1.48,1.68
d_0,0.28,0.67,0.64,1.38,0.77,0.68,1.24,3.49,0.89,1.04,1.47,1.23,1.41,1.16,1.4,1.47
g_1,1.09,0.56,0.59,0.61,0.74,0.56,0.9,1.44,6.5,1.28,2.21,1.65,1.49,1.42,1.96,0.39
c_0,0.71,0.64,0.99,0.17,0.56,0.57,1.68,1.56,1.24,4.18,1.63,3.5,1.79,1.69,1.76,2.35
f_0,0.76,0.54,0.34,0.89,0.79,0.64,1.33,1.63,1.76,1.22,4.22,1.81,1.9,1.61,3.38,1.61
b_0,0.83,0.65,0.88,0.83,0.21,0.52,1.29,1.63,1.36,1.41,1.79,4.57,1.98,3.26,1.83,1.52
h_0,0.94,0.59,1.23,0.59,0.63,0.41,0.35,1.33,1.46,1.0,1.29,1.49,0.65,1.42,1.43,1.83
a_0,0.78,0.74,0.91,0.78,0.53,,1.57,1.65,0.69,1.53,1.99,1.42,1.64,5.97,2.19,1.62
e_0,0.95,0.14,0.9,0.77,0.68,0.64,1.54,1.77,1.23,1.33,1.72,1.56,1.84,1.55,6.03,1.77
g_0,1.08,0.52,0.76,0.58,0.64,0.6,1.22,1.08,0.75,1.4,2.67,1.85,1.76,1.73,1.43,0.87
