,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.17,0.36,0.95,1.09,0.85,0.88,0.3,0.17,0.26,0.14,0.21,0.18,0.13,0.33,0.13,0.15
f_1,0.74,0.16,0.65,0.89,0.89,0.58,0.16,0.2,0.25,0.15,0.36,0.12,0.08,0.13,0.16,0.13
d_1,0.95,0.87,0.15,0.82,0.72,0.69,0.21,0.36,0.15,0.14,0.15,0.18,0.11,0.17,0.15,0.06
c_1,0.58,1.15,0.96,0.15,0.73,0.74,0.2,0.09,0.21,0.35,0.14,0.16,0.11,0.14,0.14,0.12
b_1,0.81,1.06,0.74,0.37,0.13,0.95,0.24,0.17,0.24,0.25,0.14,0.47,0.13,0.16,0.18,0.12
a_1,0.84,0.94,0.83,0.82,0.38,0.1,0.28,0.2,0.25,0.19,0.14,0.28,0.12,0.18,0.41,0.14
h_1,0.59,0.64,0.6,0.56,0.66,0.69,0.06,0.13,0.18,0.13,0.14,0.12,0.12,0.12,0.09,0.09
d_0,0.34,0.66,1.25,0.63,0.66,0.61,0.19,0.07,0.23,0.13,0.14,0.13,0.08,0.13,0.13,0.1
g_1,0.7,0.68,0.57,0.72,0.77,0.6,0.12,0.13,0.05,0.15,0.13,0.11,0.06,0.1,0.11,0.14
c_0,0.65,0.53,0.31,1.66,0.65,1.02,0.2,0.19,0.2,0.06,0.15,0.12,0.09,0.12,0.1,0.08
f_0,0.56,1.22,0.66,0.61,0.59,0.61,0.18,0.12,0.11,0.13,0.06,0.13,0.08,0.13,0.13,0.05
b_0,0.49,0.6,0.51,0.91,1.1,0.65,0.16,0.1,0.21,0.07,0.12,0.05,0.09,0.14,0.11,0.09
h_0,0.64,0.54,0.64,0.59,0.56,0.44,0.29,0.13,0.18,0.13,0.14,0.14,0.14,0.1,0.13,0.08
e_0,0.86,0.89,0.59,0.65,0.52,0.52,0.18,0.13,0.18,0.14,0.06,0.1,0.09,0.04,0.14,0.08
a_0,0.65,0.52,0.68,0.77,0.88,0.8,0.15,0.12,0.18,0.12,0.1,0.06,0.11,0.08,0.04,0.07
g_0,0.65,0.72,0.61,0.59,0.59,0.65,0.11,0.13,0.29,0.12,0.13,0.12,0.07,0.1,0.12,0.14
