,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,1.07,2.31,2.28,2.5,2.23,0.59,0.43,0.4,0.68,0.37,0.45,0.37,0.35,0.8,0.34
f_1,1.9,0.43,2.0,1.8,1.84,1.64,0.44,0.47,0.42,0.72,0.41,1.13,0.22,0.45,0.41,0.35
c_1,1.59,2.26,0.42,2.84,2.11,1.71,0.64,0.21,0.74,0.63,0.41,0.35,0.29,0.43,0.44,0.32
d_1,2.83,2.03,2.09,0.41,2.28,1.85,0.57,1.12,0.34,0.37,0.4,0.48,0.27,0.42,0.37,0.16
b_1,2.33,3.05,1.21,2.45,0.38,2.79,0.74,0.56,0.76,0.74,1.27,0.41,0.31,0.6,0.44,0.37
a_1,2.92,2.87,3.13,3.16,1.19,0.33,0.76,0.65,0.53,0.9,0.77,0.51,0.56,1.07,0.47,0.51
h_1,3.53,3.58,3.43,3.23,3.64,3.11,0.33,0.73,0.76,0.86,0.68,0.61,0.8,0.56,0.6,0.48
d_0,2.05,3.96,3.98,6.37,4.28,3.81,1.17,0.41,0.65,1.09,0.71,0.75,0.47,0.69,0.69,0.67
c_0,3.8,4.44,7.97,1.98,4.32,3.33,1.09,1.0,0.39,1.16,0.86,0.7,0.53,0.69,0.73,0.54
g_1,3.95,4.81,3.93,3.16,4.16,3.81,0.77,0.89,0.75,0.29,0.89,0.72,0.43,0.67,0.69,1.02
b_0,3.37,4.34,5.4,2.71,12.45,3.56,1.21,0.73,0.4,1.17,0.37,0.78,0.52,0.65,0.71,0.61
f_0,3.63,10.76,4.72,3.49,4.56,4.11,1.1,0.74,0.83,0.63,0.88,0.34,0.67,0.62,0.67,0.39
h_0,4.09,5.36,3.98,4.16,4.39,4.21,2.45,0.88,1.0,1.52,0.85,1.02,1.04,0.84,0.91,0.61
a_0,5.07,5.11,4.45,3.98,6.64,13.62,1.41,1.02,1.04,1.03,0.57,0.94,0.69,0.34,0.71,0.74
e_0,7.85,5.59,5.0,4.77,4.77,5.17,1.25,0.99,1.07,1.18,1.15,0.54,0.73,1.15,0.33,0.57
g_0,5.49,6.5,5.15,4.31,5.07,5.23,1.08,1.12,1.03,2.26,0.88,0.93,0.56,1.01,1.02,0.98
