,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,4.08,2.82,3.24,2.8,2.36,0.92,1.22,0.86,0.8,0.87,2.48,0.59,0.77,0.68,0.58
e_1,1.94,1.07,3.97,3.19,3.22,3.44,1.13,1.26,1.31,1.13,1.1,1.07,0.72,0.96,0.79,1.74
d_1,3.78,3.84,1.07,3.63,3.52,2.61,1.4,0.95,2.37,1.06,1.0,0.86,0.79,0.9,0.47,0.85
c_1,3.73,3.34,4.24,1.07,3.56,3.77,1.36,1.21,0.66,1.99,0.97,1.05,0.8,1.05,0.79,0.85
b_1,4.81,3.51,4.37,2.61,1.07,3.79,2.0,1.53,1.16,1.46,2.2,1.15,0.95,0.89,1.1,1.23
a_1,6.36,4.57,5.23,4.85,3.2,1.07,2.24,2.03,1.58,1.74,1.62,1.6,1.43,3.52,1.0,1.22
h_1,8.86,9.01,6.38,6.61,6.33,5.53,1.38,2.75,2.56,1.91,2.15,1.78,2.73,1.72,2.35,1.99
g_1,7.95,8.48,8.13,8.94,8.8,7.15,2.96,1.38,2.95,2.69,2.16,2.66,1.56,2.51,3.1,2.15
d_0,10.45,4.96,13.47,10.75,8.81,7.64,3.52,3.31,1.63,2.13,2.45,2.01,2.03,2.2,1.96,2.26
c_0,14.49,8.75,5.72,15.9,8.99,9.16,3.24,3.63,2.91,1.64,3.23,1.99,2.39,2.74,2.38,2.23
b_0,10.43,8.97,7.99,13.81,16.21,7.87,3.55,3.54,2.53,1.55,1.61,2.38,2.05,2.62,2.0,2.36
f_0,14.8,10.34,9.6,8.79,11.29,8.39,4.72,2.47,3.49,3.66,3.28,1.62,2.42,2.67,1.83,3.06
h_0,12.72,13.74,10.85,12.58,9.19,8.41,6.9,5.2,4.34,2.85,3.35,3.25,5.27,2.84,2.91,2.67
a_0,13.71,12.08,13.19,11.06,17.34,16.0,4.73,4.29,5.18,3.05,2.55,3.5,2.97,1.67,2.73,3.01
g_0,15.7,13.65,16.02,16.1,11.9,14.14,3.5,7.51,4.65,3.18,3.99,3.45,2.85,3.42,4.23,3.13
e_0,18.76,30.69,13.78,16.34,12.54,12.06,4.73,6.21,3.59,3.39,3.83,2.36,3.73,2.84,3.17,1.7
