,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.45,1.05,2.3,2.04,2.16,1.66,0.7,0.67,0.56,0.44,0.53,0.49,0.45,0.33,1.17,0.33
f_1,1.87,0.43,2.0,2.31,1.77,2.01,0.39,0.61,0.36,0.36,0.91,0.39,0.31,0.19,0.35,0.36
d_1,2.11,2.42,0.43,2.11,2.23,2.04,0.57,0.4,0.33,1.05,0.33,0.37,0.37,0.28,0.46,0.17
c_1,1.86,2.03,2.92,0.4,2.07,2.62,0.61,0.49,0.75,0.25,0.4,0.4,0.49,0.38,0.44,0.31
b_1,2.21,2.82,2.28,1.2,0.39,2.58,0.78,0.67,0.66,0.54,0.56,1.61,0.63,0.38,0.41,0.43
a_1,2.84,2.83,2.55,3.05,1.48,0.33,0.85,0.98,0.6,0.87,0.6,0.69,1.83,0.42,0.62,0.52
h_1,3.18,3.59,2.71,2.99,3.19,3.06,0.34,1.27,0.69,0.7,0.68,0.61,0.63,0.83,0.64,0.53
g_1,3.43,4.29,3.4,3.52,3.34,3.34,0.78,0.32,0.75,0.66,0.76,0.7,0.75,0.36,0.8,0.86
c_0,3.39,4.58,1.91,12.01,4.71,3.58,1.12,1.07,0.39,0.99,0.74,0.86,0.93,0.59,0.83,0.6
d_0,2.21,3.95,6.34,4.19,4.47,3.29,1.18,1.36,0.84,0.4,0.71,0.8,0.86,0.72,0.82,0.62
f_0,4.31,9.28,3.55,3.99,4.36,3.52,1.26,0.8,0.75,0.8,0.34,0.7,0.94,0.61,0.7,0.35
b_0,3.97,4.37,3.28,5.63,9.41,3.94,0.99,1.28,0.37,0.79,0.82,0.35,0.77,0.64,0.59,0.54
a_0,4.87,4.36,4.12,4.92,6.9,7.05,1.23,1.41,0.73,0.86,0.95,0.48,0.32,0.75,0.64,0.61
h_0,4.21,4.93,5.66,5.36,4.08,3.41,1.89,1.1,0.79,0.81,0.92,0.91,0.95,1.06,0.81,0.63
e_0,9.69,6.59,3.86,5.23,5.97,3.74,1.21,2.01,0.93,0.98,0.43,0.9,1.0,0.8,0.31,0.58
g_0,5.08,5.86,4.56,5.54,5.26,4.94,1.07,1.89,0.84,1.13,1.05,0.89,1.04,0.55,1.0,0.99
