,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9.97,0.73,1.06,0.62,0.67,0.59,0.81,2.34,0.98,0.81,1.02,1.05,0.89,1.07,0.7,0.85
f_1,1.94,10.09,0.66,0.66,0.52,0.59,0.85,1.04,0.87,0.93,0.99,0.67,0.87,1.0,0.57,0.9
c_1,0.54,0.69,10.71,0.64,1.98,0.68,0.84,0.85,0.79,0.44,0.54,0.88,0.93,0.77,1.0,0.95
d_1,0.72,0.74,0.46,13.88,0.58,0.69,1.0,0.59,1.2,2.91,1.53,1.09,1.03,1.26,1.07,1.05
b_1,0.5,0.71,0.66,0.68,13.02,2.28,1.05,0.76,0.82,0.9,0.57,0.9,1.09,0.63,0.99,1.03
a_1,0.63,0.9,0.8,0.72,0.62,18.99,1.11,0.8,0.77,0.8,1.15,0.92,1.15,0.64,1.17,0.91
h_1,0.57,1.23,0.88,0.92,0.77,0.62,3.2,0.76,1.37,0.72,0.98,0.93,0.93,1.05,1.21,1.51
d_0,0.7,0.69,2.56,0.41,1.02,0.75,1.21,1.96,0.87,0.56,0.82,0.97,1.08,0.88,1.19,1.08
g_1,0.66,0.56,0.68,2.21,0.74,0.55,1.16,0.69,4.07,1.26,1.11,2.15,0.85,1.18,1.3,0.94
c_0,0.99,0.81,0.66,0.99,0.48,0.67,1.15,1.06,1.11,2.15,2.82,1.1,1.13,1.61,1.15,1.14
b_0,0.71,0.75,1.04,1.05,0.55,0.47,1.0,1.02,1.09,1.08,2.36,1.16,1.14,2.73,1.44,1.3
f_0,0.62,0.67,0.93,1.01,0.82,0.73,1.42,1.04,1.35,1.15,1.24,2.71,1.31,1.19,3.19,1.16
h_0,0.7,1.26,0.71,1.22,0.54,0.59,0.81,0.77,1.39,1.06,1.14,1.27,0.85,1.0,1.2,1.74
a_0,0.86,0.73,0.8,1.12,0.86,0.41,0.99,1.14,1.13,1.12,1.05,1.09,1.04,2.69,1.17,1.08
e_0,0.53,0.99,0.98,0.81,0.81,0.77,1.49,0.81,1.28,0.96,1.09,1.22,1.57,1.09,3.1,1.31
g_0,0.59,0.85,0.74,1.72,0.7,0.73,0.95,0.72,0.88,1.14,1.1,1.83,1.6,0.95,1.57,0.98
