,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,13.57,14.25,13.59,11.97,11.98,2.62,3.98,2.27,2.27,2.62,,1.1,2.65,2.2,2.62
e_1,7.4,0.18,15.1,12.87,13.47,17.15,3.27,5.03,2.03,3.02,3.3,2.71,1.73,2.38,,1.55
d_1,13.18,13.51,0.16,11.3,12.86,12.85,3.58,2.27,2.42,,2.84,2.9,1.75,2.6,3.26,0.85
c_1,13.98,11.34,16.95,0.15,10.57,8.94,3.66,3.76,,1.47,3.19,2.81,1.57,2.04,2.82,2.07
b_1,16.4,11.34,11.39,7.26,0.14,16.18,4.13,2.9,3.68,2.5,,2.03,2.69,2.29,2.55,1.35
a_1,13.03,17.15,16.86,17.88,6.66,0.09,2.69,3.31,3.27,2.18,2.46,2.17,,,,
h_1,2.85,3.55,3.48,2.55,3.31,3.36,0.07,0.89,0.79,0.92,0.55,0.55,,0.59,0.63,0.52
g_1,6.08,3.59,2.52,4.32,2.52,3.78,0.75,0.06,0.86,0.6,0.7,0.75,0.35,1.02,0.53,
c_0,2.56,3.21,1.38,,2.98,2.38,0.74,1.39,0.08,0.66,0.48,0.41,0.32,0.44,0.47,0.35
d_0,1.89,1.26,,2.76,2.58,2.38,0.6,0.9,0.62,0.09,0.57,0.54,0.32,0.56,0.44,0.56
b_0,2.23,3.07,3.58,2.47,,2.93,0.85,0.7,0.25,0.41,0.07,0.48,0.37,0.58,0.44,0.58
f_0,,2.38,2.27,2.59,2.65,2.43,0.82,0.38,0.54,0.59,0.7,0.06,0.46,,0.44,0.24
h_0,1.69,2.01,1.6,1.73,2.55,,,0.31,0.39,0.23,0.29,0.38,,0.29,0.37,0.26
a_0,4.24,2.69,1.97,2.53,2.83,,0.75,1.02,0.56,0.56,0.22,,0.37,0.05,0.42,
e_0,2.53,,2.28,2.49,2.73,,0.6,0.81,0.74,0.49,0.47,0.54,0.18,0.42,0.04,
g_0,1.65,2.55,1.6,1.77,1.77,,0.29,,0.29,0.32,0.35,0.28,0.2,,,
