,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.64,0.15,0.08,0.08,0.07,0.07,0.32,0.28,0.38,0.4,0.3,,0.74,0.33,0.42,0.28
e_1,0.08,5.97,0.08,0.09,0.07,0.05,0.29,0.18,0.4,0.76,0.19,0.43,0.67,0.25,0.66,
d_1,0.1,0.07,5.98,0.06,0.08,0.06,0.28,0.43,0.68,,0.43,0.3,0.6,0.35,0.53,0.34
c_1,0.09,0.08,0.09,6.74,0.15,0.06,0.29,0.22,,0.45,0.31,0.5,0.39,,0.68,0.36
b_1,0.08,0.08,0.08,0.1,7.23,0.12,0.32,0.23,0.35,0.31,,0.41,0.69,0.35,0.45,0.46
a_1,0.1,0.07,0.06,0.06,0.07,10.52,0.28,0.26,0.34,0.27,0.4,0.53,0.79,,0.65,
h_1,0.38,0.29,0.27,0.28,0.2,0.28,14.67,1.13,1.71,1.33,2.06,1.11,,1.16,3.41,1.35
g_1,0.2,0.24,0.41,0.37,0.31,0.28,1.09,17.09,1.73,1.38,1.74,1.68,1.9,0.99,,1.38
c_0,0.38,0.31,0.38,,0.32,0.49,1.49,1.48,12.15,2.48,2.88,2.16,3.28,1.7,3.14,1.34
d_0,0.46,0.41,,0.66,0.4,0.49,1.56,1.82,1.38,11.61,2.03,1.98,3.37,1.74,2.74,2.22
b_0,0.38,0.31,0.35,0.39,,0.32,1.54,1.74,1.63,2.1,14.28,1.67,2.13,4.44,3.45,2.17
f_0,,0.42,0.34,0.35,0.44,0.5,1.5,1.1,1.42,2.34,2.54,14.67,2.96,2.15,2.18,4.56
h_0,0.71,0.6,0.53,0.53,0.65,0.38,,3.06,3.2,2.52,2.94,2.85,,4.13,5.91,
a_0,0.31,0.33,0.36,0.37,0.33,,1.24,2.07,2.26,1.63,1.55,2.51,3.67,21.39,2.87,
g_0,0.5,0.45,0.84,0.51,0.47,0.69,2.58,,2.43,3.29,2.5,3.6,3.94,2.87,,4.49
e_0,0.28,,0.48,0.47,0.41,,1.94,,2.36,2.56,1.93,2.35,2.67,2.0,,22.99
