,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.89,0.22,0.18,0.2,0.37,0.09,0.2,0.16,0.19,0.06,0.18,0.11,0.19,0.12,0.1,0.15
f_1,0.23,0.89,0.24,0.36,0.16,0.09,0.19,0.16,0.18,0.17,0.07,0.17,0.16,0.06,0.12,0.12
d_1,0.17,0.25,0.9,0.18,0.18,0.11,0.22,0.17,0.1,0.37,0.19,0.23,0.18,0.14,0.13,0.17
e_1,0.26,0.23,0.18,0.9,0.2,0.12,0.17,0.16,0.38,0.17,0.17,0.17,0.19,0.06,0.12,0.18
b_1,0.21,0.22,0.2,0.21,0.89,0.27,0.21,0.13,0.19,0.15,0.16,0.07,0.17,0.11,0.1,0.14
a_1,0.28,0.24,0.19,0.17,0.18,0.88,0.19,0.19,0.21,0.19,0.18,0.15,0.18,0.16,0.06,0.17
h_1,0.27,0.38,0.28,0.23,0.19,0.17,0.57,0.28,0.21,0.24,0.17,0.2,0.14,0.13,0.15,0.23
g_1,0.24,0.23,0.43,0.22,0.21,0.12,0.25,0.57,0.22,0.22,0.32,0.19,0.2,0.18,0.13,0.14
d_0,0.53,0.26,0.14,0.26,0.23,0.14,0.2,0.19,0.44,0.14,0.21,0.18,0.2,0.14,0.14,0.19
c_0,0.21,0.29,0.31,0.24,0.16,0.14,0.26,0.22,0.24,0.45,0.23,0.45,0.25,0.17,0.16,0.24
f_0,0.31,0.16,0.33,0.21,0.25,0.17,0.25,0.19,0.21,0.24,0.43,0.24,0.22,0.3,0.16,0.2
b_0,0.27,0.36,0.3,0.25,0.14,0.11,0.25,0.22,0.27,0.23,0.17,0.42,0.27,0.16,0.32,0.23
h_0,0.26,0.37,0.28,0.26,0.21,0.14,0.17,0.3,0.25,0.21,0.2,0.19,0.14,0.15,0.16,0.27
e_0,0.29,0.35,0.32,0.11,0.25,0.14,0.3,0.24,0.19,0.17,0.19,0.21,0.26,0.41,0.15,0.2
a_0,0.29,0.3,0.33,0.22,0.21,0.1,0.27,0.22,0.22,0.2,0.17,0.17,0.23,0.15,0.38,0.21
g_0,0.31,0.22,0.4,0.21,0.24,0.12,0.2,0.14,0.22,0.25,0.3,0.21,0.23,0.15,0.15,0.14
