,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.21,1.86,0.6,0.7,0.59,0.52,0.84,1.0,0.79,0.94,0.91,0.62,0.93,0.95,0.66,0.77
e_1,0.86,9.78,0.58,0.84,0.67,0.72,0.99,2.41,0.76,0.88,1.09,0.94,1.11,0.89,0.83,0.91
d_1,0.72,0.67,13.01,0.51,0.6,0.65,0.94,0.63,3.33,1.03,1.31,1.13,1.0,1.22,1.12,1.18
c_1,0.62,0.55,0.67,11.13,2.03,0.81,0.8,0.73,0.56,0.65,0.57,0.97,0.88,0.86,1.04,0.91
b_1,0.57,0.58,0.72,0.81,12.3,1.7,0.96,0.86,0.79,0.89,0.69,1.04,1.0,0.65,0.97,1.13
a_1,0.75,0.64,0.99,0.71,0.63,17.37,1.13,0.88,0.94,1.1,0.87,0.98,0.99,0.7,1.04,0.94
h_1,1.33,0.69,0.98,0.88,0.59,0.55,3.09,0.89,0.85,1.5,1.03,1.0,0.65,1.27,1.07,1.34
d_0,0.82,0.57,0.47,2.37,0.92,0.72,1.08,1.73,0.61,1.11,0.86,1.17,1.14,1.06,1.03,0.94
c_0,0.88,0.92,0.91,0.77,0.53,0.76,1.12,0.91,2.24,1.09,3.41,1.02,1.15,1.83,1.18,1.24
g_1,0.71,0.68,1.89,0.82,0.71,0.63,0.99,0.81,1.04,4.01,1.11,2.04,1.13,0.89,1.09,0.84
b_0,0.98,0.66,1.0,0.96,0.45,0.76,1.07,1.1,1.05,1.13,2.56,0.89,1.3,3.04,1.01,0.98
f_0,0.58,0.44,1.16,0.86,0.84,0.85,1.59,0.81,1.29,1.21,1.31,3.03,1.17,1.47,3.59,1.37
h_0,1.16,0.74,0.89,0.75,0.71,0.83,0.71,0.87,0.83,1.51,1.14,1.11,0.74,0.85,0.94,1.41
a_0,0.93,0.76,0.91,0.81,0.74,0.48,1.18,0.89,1.01,1.32,1.42,1.07,1.4,2.7,0.91,1.16
e_0,0.92,0.46,1.0,0.87,0.91,0.88,1.24,0.69,1.12,1.18,1.19,0.83,1.39,1.28,2.74,1.52
g_0,0.72,0.49,2.16,0.73,0.61,0.8,1.18,0.66,1.22,0.82,1.3,2.07,0.99,1.18,1.54,1.08
