,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.96,1.48,1.17,1.57,2.94,18.71,27.65,24.84,27.7,35.24,35.53,53.61,61.84,61.3,109.96
d_1,1.04,1.0,1.14,1.02,1.43,3.37,27.91,22.01,35.83,36.01,37.94,41.61,62.65,66.23,75.88,75.17
e_1,0.68,0.87,1.0,1.22,1.31,3.34,20.85,25.62,24.86,35.99,30.84,42.66,61.51,57.95,81.5,99.37
c_1,0.86,0.98,0.82,1.0,1.76,2.13,17.04,20.97,17.14,16.28,26.99,29.37,57.11,43.77,56.46,83.16
b_1,0.64,0.7,0.76,0.57,1.0,2.95,16.07,16.89,19.31,20.82,28.97,24.78,43.49,51.15,56.61,83.82
a_1,0.34,0.3,0.3,0.47,0.34,1.0,8.08,8.49,9.48,6.72,10.88,12.98,23.28,23.61,22.99,33.3
h_1,0.05,0.04,0.05,0.06,0.06,0.12,1.0,1.52,1.27,1.14,1.72,2.09,3.38,3.19,3.11,6.29
g_1,0.04,0.04,0.04,0.05,0.06,0.12,0.66,1.0,0.93,1.05,1.31,1.81,1.74,2.09,2.7,4.03
c_0,0.04,0.03,0.04,0.06,0.05,0.1,0.83,1.09,1.0,1.17,1.69,1.65,2.37,2.18,2.5,3.68
d_0,0.03,0.03,0.03,0.07,0.05,0.14,0.85,0.98,0.86,1.0,1.46,1.31,1.97,2.53,2.36,3.74
b_0,0.03,0.03,0.03,0.04,0.03,0.08,0.56,0.76,0.57,0.67,1.0,0.84,1.87,2.72,1.76,2.78
f_0,0.03,0.02,0.02,0.04,0.04,0.07,0.49,0.59,0.6,0.81,1.16,1.0,1.89,1.81,3.37,2.19
h_0,0.02,0.02,0.02,0.02,0.02,0.04,0.31,0.58,0.42,0.47,0.52,0.52,1.0,0.96,1.16,2.07
a_0,0.02,0.01,0.02,0.02,0.02,,0.32,0.45,0.47,0.43,0.36,0.54,1.11,1.0,1.02,1.67
e_0,0.02,0.01,0.01,0.02,0.02,0.04,0.33,0.38,0.4,0.43,0.52,0.29,0.93,1.04,1.0,1.23
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.26,0.25,0.26,0.32,0.45,0.49,0.61,0.84,
