,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.36,1.24,1.44,1.84,3.11,20.18,28.02,32.88,36.04,40.09,47.5,59.51,114.14,92.89,137.84
e_1,0.74,1.0,1.7,1.29,2.0,3.69,23.84,41.73,36.7,36.23,49.63,48.99,83.97,128.95,140.8,115.07
c_1,0.81,0.59,1.0,1.19,2.16,2.21,15.6,14.77,24.3,20.24,28.0,28.6,52.54,72.23,78.77,95.04
d_1,0.7,0.78,0.84,1.0,1.4,2.2,17.84,22.1,20.13,36.35,32.25,39.58,51.68,91.0,80.78,69.36
b_1,0.54,0.51,0.47,0.7,1.0,2.59,11.92,15.46,18.23,18.36,19.73,22.03,37.3,55.93,62.93,60.69
a_1,0.32,0.27,0.45,0.46,0.38,1.0,7.11,9.77,9.42,11.61,11.88,14.17,21.86,36.54,38.07,36.33
h_1,0.05,0.04,0.07,0.06,0.08,0.13,1.0,1.1,1.71,1.51,1.6,2.15,2.53,4.01,4.76,5.7
d_0,0.03,0.02,0.07,0.05,0.07,0.1,0.88,1.0,1.21,1.2,1.54,1.7,2.33,3.44,3.82,5.46
g_1,0.03,0.03,0.04,0.05,0.05,0.11,0.57,0.81,1.0,0.96,1.53,1.33,1.65,3.55,3.71,3.32
c_0,0.03,0.03,0.05,0.03,0.05,0.08,0.67,0.83,1.03,1.0,1.12,1.91,2.05,3.38,3.85,3.29
f_0,0.02,0.02,0.03,0.03,0.05,0.08,0.64,0.67,0.64,0.92,1.0,1.17,1.73,4.23,2.86,2.45
b_0,0.02,0.02,0.04,0.03,0.05,0.07,0.49,0.6,0.76,0.54,0.82,1.0,1.41,2.27,3.42,2.68
h_0,0.02,0.01,0.02,0.02,0.03,0.05,0.39,0.42,0.58,0.48,0.51,0.69,1.0,1.52,1.63,1.96
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.25,0.29,0.29,0.28,0.25,0.41,0.67,1.0,1.13,1.04
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.22,0.25,0.25,0.27,0.37,0.3,0.61,0.88,1.0,1.16
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.2,0.3,0.32,0.4,0.39,0.52,0.93,0.92,1.0
