,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.86,1.12,0.53,0.55,0.57,0.54,0.82,0.72,0.85,0.95,0.9,0.34,0.81,0.73,0.79,0.89
e_1,0.74,2.88,0.54,0.83,0.5,0.56,0.96,0.86,0.75,1.57,0.92,0.99,0.96,0.82,0.52,0.99
d_1,0.61,0.57,3.01,0.41,0.62,0.63,0.86,1.87,0.94,0.49,1.22,1.11,1.14,1.09,1.17,0.97
c_1,0.54,0.52,0.55,3.35,1.24,0.42,0.78,0.27,0.83,0.71,0.75,0.85,0.96,1.01,0.93,1.05
b_1,0.63,0.51,0.75,0.45,3.35,1.21,0.9,0.83,0.87,0.85,0.34,0.89,0.94,0.66,0.82,0.99
a_1,0.65,0.59,0.65,0.71,0.5,4.62,1.08,0.84,0.7,1.11,0.83,1.1,0.99,0.52,0.8,0.96
h_1,1.1,0.7,0.77,0.74,0.57,0.79,2.85,0.98,1.36,0.9,1.17,0.98,0.61,1.43,1.02,1.48
c_0,0.87,0.73,0.85,0.49,0.57,0.73,1.12,2.31,1.43,1.14,2.4,1.41,1.38,1.48,1.23,1.1
g_1,0.56,0.68,1.3,0.74,0.73,0.63,0.92,1.29,3.7,0.76,1.06,1.77,1.09,1.02,0.98,0.54
d_0,0.75,0.85,0.45,1.51,0.63,0.6,1.26,0.85,1.0,2.21,1.2,0.95,1.22,1.16,1.13,0.93
b_0,0.9,0.7,0.83,0.88,0.34,0.52,1.21,1.23,1.16,1.05,2.8,1.26,1.31,2.8,1.36,0.94
f_0,0.45,0.56,0.84,0.89,0.76,0.61,1.19,1.36,1.19,1.13,1.38,2.89,1.43,1.78,3.04,1.23
h_0,1.12,0.73,0.88,0.8,0.66,0.5,0.67,1.1,1.5,1.12,1.0,1.13,0.68,1.05,1.38,1.45
a_0,0.82,0.74,0.86,0.99,0.7,0.25,1.14,1.09,1.34,1.22,1.31,1.35,1.34,3.14,1.45,1.1
e_0,0.74,0.33,0.78,1.02,0.8,0.75,1.2,1.33,1.5,1.16,1.35,1.33,1.29,1.26,3.76,1.53
g_0,0.58,0.7,1.22,0.85,0.63,0.68,1.12,1.08,0.91,1.2,1.42,2.04,1.06,1.08,1.36,0.6
