,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.22,0.02,0.03,0.03,0.03,0.01,0.07,0.12,0.05,0.07,0.06,0.07,0.07,0.05,,0.06
d_1,0.03,2.27,0.03,0.02,0.03,0.02,0.06,,0.05,0.11,0.05,0.08,0.06,0.05,0.06,0.09
f_1,0.04,0.03,2.3,0.03,0.03,0.02,0.05,0.07,0.04,0.06,0.07,,0.08,0.06,0.05,0.07
c_1,0.03,0.03,0.02,2.38,0.05,0.02,0.06,0.07,0.05,,0.04,0.05,0.06,0.04,0.05,0.1
b_1,0.03,0.03,0.03,0.02,2.55,0.04,0.05,0.06,0.06,0.07,,0.06,0.08,0.03,0.05,0.06
a_1,0.04,0.03,0.03,0.04,0.02,3.07,0.05,0.04,0.06,0.06,,0.04,0.1,,,0.06
h_1,0.11,0.12,0.16,0.11,0.09,0.09,2.62,0.23,0.25,0.21,0.26,0.21,,0.17,0.18,0.19
d_0,0.17,,0.15,0.25,0.12,0.12,0.34,1.97,0.2,0.27,0.32,0.22,0.46,0.23,0.17,0.3
g_1,0.09,0.19,0.09,0.12,0.09,0.09,0.16,0.23,2.91,0.21,0.19,0.35,0.21,0.18,0.2,
c_0,0.12,0.18,0.19,,0.13,0.1,0.25,0.3,0.3,1.98,0.44,0.35,0.46,0.18,0.17,0.33
b_0,0.17,0.15,0.13,0.15,,,0.35,0.28,0.2,0.35,2.15,0.31,0.43,0.47,0.16,0.33
f_0,0.17,0.14,,0.13,0.14,0.11,0.26,0.31,0.25,0.41,0.32,2.19,0.3,0.28,0.43,0.28
h_0,0.23,0.26,0.25,0.19,0.17,0.22,,0.54,0.46,0.26,0.38,0.34,,0.42,0.36,0.91
a_0,0.16,0.14,0.12,0.19,0.09,,0.27,0.38,0.23,0.41,0.2,0.3,0.6,2.46,,
e_0,,0.12,0.16,0.09,0.11,,0.34,0.5,0.23,0.35,0.35,0.24,0.36,,2.8,0.39
g_0,0.16,0.31,0.2,0.18,0.2,0.15,0.43,0.41,,0.62,0.47,0.44,0.68,,0.4,
