,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,23.99,0.36,0.33,0.23,0.29,0.38,0.81,0.67,1.47,0.17,0.88,0.94,0.96,1.06,0.64,1.21
f_1,0.34,24.14,0.65,0.28,0.35,0.22,0.71,0.66,0.81,0.83,0.84,0.22,0.79,0.79,0.57,0.72
e_1,0.27,0.32,26.8,0.45,0.31,0.34,0.64,0.63,0.82,1.72,0.87,0.86,0.9,0.95,0.22,0.87
c_1,0.3,0.38,0.32,27.72,0.68,0.41,0.68,0.81,0.12,0.76,0.43,0.86,0.74,0.9,0.77,0.66
b_1,0.37,0.38,0.28,0.34,32.94,0.78,0.69,0.75,0.75,0.93,0.09,0.65,0.52,0.7,0.72,0.72
a_1,0.25,0.27,0.3,0.45,0.51,47.4,0.82,0.55,0.7,0.76,0.8,0.91,,0.85,1.21,1.07
h_1,0.78,1.07,0.57,0.53,0.43,0.41,9.7,1.76,1.48,1.17,1.66,1.43,1.12,0.58,1.62,1.96
g_1,1.11,0.52,0.5,0.59,0.5,0.64,1.34,12.03,1.15,1.26,1.95,2.31,1.37,1.75,2.03,0.58
c_0,0.79,0.56,0.86,0.26,0.45,0.6,1.26,1.44,5.9,1.32,3.86,1.58,2.02,1.56,1.86,1.96
d_0,0.23,0.64,0.64,1.8,0.65,0.58,1.24,1.34,0.84,4.74,1.43,1.35,1.71,1.64,1.45,1.23
b_0,0.93,0.86,0.56,0.89,0.19,0.35,1.54,1.38,1.31,1.5,6.21,1.49,2.68,1.51,1.61,1.28
f_0,0.77,0.14,0.58,0.61,0.7,0.8,1.91,1.79,1.99,1.51,1.96,7.27,1.54,1.6,4.94,2.32
a_0,0.63,0.76,0.58,1.08,0.63,,1.48,1.43,1.54,1.25,1.81,1.52,8.11,1.9,1.58,1.21
h_0,0.68,1.02,0.6,0.72,0.5,0.58,0.46,1.8,1.34,1.33,1.42,1.33,1.69,0.56,1.19,1.79
e_0,0.8,0.54,0.24,0.84,1.0,0.76,1.16,1.2,1.35,1.51,1.6,1.54,1.51,2.01,9.58,1.4
g_0,1.35,0.54,0.48,0.69,0.45,0.47,1.38,0.51,1.53,1.27,1.69,2.66,1.65,1.82,1.82,0.62
