,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.51,0.59,1.1,0.71,0.58,0.57,0.85,0.66,0.95,0.96,0.84,0.45,0.98,0.88,0.79,0.65
d_1,0.67,2.67,0.6,0.49,0.66,0.62,0.99,0.97,1.68,0.46,1.2,1.15,0.95,1.07,1.17,1.08
e_1,0.76,0.61,2.64,0.76,0.59,0.56,0.87,0.94,0.89,1.67,0.96,1.06,1.12,0.92,0.93,0.45
c_1,0.62,0.63,0.59,2.99,1.21,0.61,0.83,0.75,0.4,0.82,0.62,0.87,0.79,0.78,0.93,0.98
b_1,0.62,0.66,0.56,0.7,3.17,1.23,0.91,0.86,0.69,0.84,0.39,0.82,0.83,0.72,0.87,1.06
a_1,0.77,0.78,0.71,0.57,0.56,4.02,0.95,0.98,0.82,0.87,1.13,0.83,1.04,0.55,0.92,0.74
h_1,1.1,0.85,0.75,0.76,0.72,0.73,2.61,1.33,1.17,0.92,1.16,1.15,0.72,1.13,1.41,1.12
g_1,0.76,1.19,0.67,0.72,0.79,0.66,1.12,3.12,1.17,0.84,1.21,1.73,1.32,1.23,0.76,1.34
c_0,0.87,0.97,0.73,0.59,0.59,0.78,1.14,1.31,2.14,1.02,2.49,1.27,1.27,1.29,1.14,1.39
d_0,0.8,0.39,0.73,1.65,0.79,0.75,1.03,1.35,0.79,2.1,1.27,1.23,1.11,1.11,1.22,1.2
b_0,0.83,1.06,0.71,0.95,0.35,0.5,1.17,1.24,1.15,1.23,2.54,1.27,1.38,2.87,1.3,1.39
f_0,0.55,0.94,0.7,0.84,0.75,0.86,1.17,1.32,1.09,1.18,1.24,2.65,1.31,1.36,1.34,2.96
h_0,0.98,0.84,0.81,0.82,0.75,0.78,0.73,1.46,1.17,1.2,1.32,1.09,0.72,1.22,1.61,1.16
a_0,0.83,0.82,0.77,0.93,0.71,0.38,1.2,1.22,1.17,1.33,1.11,1.4,1.6,3.36,1.41,1.68
g_0,0.73,1.18,0.66,0.85,0.74,0.69,1.15,0.86,1.31,1.14,1.09,1.83,1.18,1.34,0.83,1.5
e_0,0.8,0.99,0.52,0.86,0.8,0.86,1.25,1.17,1.12,1.04,1.27,1.24,1.27,1.33,1.21,3.51
