,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.89,1.13,1.67,2.18,4.04,18.88,49.69,37.27,35.99,57.11,78.99,76.09,93.98,130.31,146.83
f_1,1.12,1.0,1.17,1.22,1.53,3.06,13.53,28.14,33.43,32.44,38.69,50.55,80.29,70.99,85.04,119.09
d_1,0.88,0.85,1.0,1.0,1.27,3.35,16.4,26.26,22.78,38.76,44.05,42.88,67.71,74.52,90.59,87.79
c_1,0.6,0.82,1.0,1.0,1.77,2.8,14.91,17.21,21.86,20.86,30.35,39.44,54.04,70.92,76.04,103.81
b_1,0.46,0.65,0.79,0.57,1.0,3.05,10.44,18.98,20.51,22.22,21.86,34.81,41.23,53.28,63.8,58.92
a_1,0.25,0.32,0.29,0.36,0.33,1.0,5.29,7.51,9.75,9.75,14.42,15.6,19.0,23.04,23.52,34.09
h_1,0.05,0.07,0.07,0.07,0.1,0.18,1.0,1.7,1.8,1.7,2.28,2.78,4.11,4.81,5.13,7.92
d_0,0.02,0.03,0.04,0.06,0.06,0.14,0.58,1.0,1.1,0.91,1.48,1.67,2.57,2.97,3.09,4.12
g_1,0.03,0.03,0.04,0.05,0.05,0.1,0.56,0.89,1.0,1.17,1.28,2.21,2.67,2.32,3.26,4.35
c_0,0.03,0.03,0.03,0.05,0.04,0.1,0.6,1.04,0.91,1.0,1.96,1.65,2.48,2.44,2.76,4.32
b_0,0.02,0.03,0.02,0.03,0.04,0.07,0.44,0.62,0.74,0.52,1.0,1.23,2.63,2.03,2.07,2.69
f_0,0.01,0.02,0.02,0.03,0.03,0.07,0.35,0.57,0.46,0.62,0.83,1.0,1.54,1.55,2.85,1.91
a_0,0.01,0.01,0.01,0.02,0.03,0.05,0.25,0.41,0.39,0.39,0.38,0.69,1.0,1.14,1.33,1.46
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.35,0.41,0.39,0.49,0.62,0.89,1.0,1.03,1.77
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.33,0.31,0.38,0.53,0.39,0.76,0.94,1.0,1.27
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.24,0.23,0.25,0.38,0.51,0.68,0.58,0.82,1.0
