,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.16,0.45,0.56,0.37,0.42,0.38,0.13,0.13,0.05,0.12,0.1,0.09,0.07,0.1,0.09,0.06
f_1,0.47,0.16,0.42,0.46,0.45,0.37,0.1,0.15,0.1,0.09,0.14,0.08,0.05,0.08,0.08,0.08
d_1,0.5,0.42,0.15,0.52,0.45,0.5,0.12,0.08,0.15,0.08,0.07,0.08,0.06,0.08,0.07,0.04
e_1,0.48,0.27,0.5,0.15,0.48,0.48,0.14,0.16,0.1,0.1,0.12,0.09,0.07,0.19,0.09,0.08
b_1,0.25,0.54,0.49,0.44,0.14,0.49,0.16,0.15,0.1,0.14,0.09,0.16,0.07,0.09,0.1,0.07
a_1,0.48,0.56,0.5,0.5,0.22,0.09,0.12,0.16,0.1,0.11,0.08,0.13,0.07,0.11,0.15,0.08
h_1,0.41,0.39,0.37,0.46,0.41,0.37,0.06,0.1,0.09,0.07,0.08,0.07,0.07,0.06,0.06,0.06
g_1,0.41,0.42,0.37,0.39,0.46,0.35,0.08,0.05,0.09,0.07,0.08,0.08,0.04,0.07,0.08,0.08
d_0,0.43,0.4,0.67,0.22,0.44,0.37,0.13,0.12,0.06,0.08,0.11,0.08,0.06,0.1,0.09,0.07
c_0,0.92,0.41,0.22,0.45,0.43,0.38,0.11,0.11,0.14,0.05,0.08,0.08,0.06,0.09,0.09,0.05
f_0,0.4,0.71,0.37,0.38,0.39,0.33,0.11,0.07,0.09,0.08,0.05,0.09,0.06,0.08,0.11,0.04
b_0,0.67,0.39,0.28,0.41,0.57,0.4,0.11,0.11,0.09,0.04,0.08,0.05,0.06,0.09,0.08,0.05
h_0,0.37,0.44,0.38,0.38,0.37,0.35,0.15,0.12,0.09,0.08,0.08,0.07,0.07,0.07,0.08,0.05
e_0,0.38,0.66,0.34,0.56,0.4,0.29,0.11,0.08,0.09,0.07,0.04,0.08,0.06,0.04,0.08,0.05
a_0,0.44,0.38,0.38,0.39,0.46,0.48,0.1,0.12,0.08,0.07,0.07,0.04,0.05,0.07,0.04,0.05
g_0,0.42,0.45,0.36,0.38,0.39,0.41,0.09,0.14,0.09,0.08,0.08,0.07,0.04,0.08,0.07,0.07
