,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.09,2.24,2.18,2.55,2.36,2.02,0.54,0.48,0.55,0.8,0.54,0.58,0.41,0.28,0.45,0.37
e_1,1.48,1.09,2.6,2.81,2.6,2.62,0.67,0.56,0.55,0.82,0.52,0.71,0.49,0.35,0.73,0.39
d_1,3.09,2.97,1.09,2.81,2.57,2.42,0.79,0.48,0.79,0.49,0.51,0.54,0.46,0.36,0.54,0.24
c_1,2.92,2.19,3.47,1.1,2.61,2.48,0.77,0.8,0.35,0.76,0.55,0.56,0.55,0.38,0.52,0.39
b_1,3.11,2.95,3.42,1.75,1.1,2.98,1.02,0.84,0.58,0.89,0.97,0.59,0.72,0.48,0.57,0.46
a_1,4.14,4.85,4.42,3.94,2.22,1.12,1.4,0.92,0.97,1.18,1.06,0.88,1.1,0.57,0.78,0.6
h_1,9.05,9.17,8.76,9.55,9.74,8.24,1.5,1.94,2.26,2.33,1.85,1.87,1.62,1.88,1.69,1.2
c_0,11.25,12.43,6.58,14.4,12.01,9.93,3.09,1.68,3.48,2.85,2.22,2.34,2.03,1.62,2.25,1.32
d_0,9.78,7.29,16.17,12.68,12.31,11.68,3.19,2.82,1.76,3.89,2.31,2.67,2.3,1.74,2.51,1.9
g_1,11.7,11.06,11.64,13.17,11.17,9.88,2.51,2.37,2.76,1.54,2.12,2.3,2.23,1.35,1.99,2.07
b_0,11.36,12.43,9.33,18.1,14.54,10.95,2.99,1.6,3.18,3.35,1.74,2.53,2.12,1.66,2.26,1.66
f_0,19.5,13.7,12.37,14.0,13.15,12.14,3.81,3.24,3.27,2.47,2.8,1.74,2.96,1.9,2.56,1.4
a_0,18.47,18.49,15.54,18.42,23.53,17.28,4.45,3.1,4.11,4.87,2.31,4.27,2.02,2.66,3.92,2.54
h_0,20.06,18.49,18.55,19.59,18.67,17.14,6.22,4.11,4.53,5.75,3.98,4.0,3.51,3.59,3.12,2.62
e_0,29.5,27.09,18.02,19.22,17.23,17.28,5.83,4.41,5.24,4.67,4.72,2.17,4.24,2.48,2.04,2.11
g_0,26.59,22.84,20.35,27.39,20.24,21.91,5.53,4.38,5.48,6.89,4.56,4.27,3.86,2.68,4.09,3.81
