,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.64,0.96,1.25,0.89,0.79,0.61,0.63,0.43,0.37,0.46,0.49,0.36,0.41,0.29,0.35
f_1,1.57,1.0,0.86,0.84,0.78,0.66,0.41,0.46,0.47,0.47,0.43,0.29,0.31,0.26,0.37,0.32
d_1,1.04,1.16,1.0,0.93,0.92,0.7,0.52,0.45,0.42,0.61,0.41,0.42,0.35,0.36,0.31,0.26
c_1,0.8,1.19,1.07,1.0,1.35,0.78,0.48,0.34,0.4,0.34,0.44,0.36,0.41,0.31,0.3,0.37
b_1,1.13,1.28,1.08,0.74,1.0,1.29,0.56,0.5,0.48,0.5,0.43,0.54,0.42,0.37,0.31,0.37
a_1,1.27,1.51,1.42,1.28,0.78,1.0,0.64,0.69,0.63,0.52,0.45,0.68,0.55,0.49,0.45,0.44
h_1,1.57,2.47,1.99,2.06,1.82,1.55,1.0,0.88,1.14,0.82,0.8,0.75,0.65,0.64,0.6,0.79
d_0,1.5,2.25,2.15,3.01,1.95,1.44,1.13,1.0,1.22,0.86,0.95,0.91,0.64,0.78,0.83,0.74
g_1,2.24,2.12,2.39,2.38,2.18,1.47,0.88,0.78,1.0,0.94,1.12,0.77,0.66,0.68,0.66,0.6
c_0,2.58,2.22,1.74,3.05,1.83,1.92,1.27,1.2,1.09,1.0,1.07,1.19,0.77,0.73,0.72,0.81
f_0,2.16,2.51,2.37,2.54,2.14,2.01,1.28,1.11,0.97,0.93,1.0,1.07,0.82,1.2,0.93,0.67
b_0,1.99,3.48,2.37,3.11,1.8,1.43,1.27,1.07,1.29,0.83,0.91,1.0,0.91,0.97,1.19,0.88
h_0,2.76,3.25,2.84,2.61,2.33,1.81,1.55,1.41,1.54,1.23,1.2,1.14,1.0,0.76,0.93,0.98
e_0,2.44,4.48,2.87,3.24,2.62,2.03,1.61,1.42,1.52,1.43,0.79,1.06,1.39,1.0,1.34,1.12
a_0,3.44,2.71,3.24,3.6,3.0,2.06,1.63,1.23,1.46,1.4,1.03,0.84,1.1,0.71,1.0,0.87
g_0,2.74,3.03,3.88,2.58,2.52,2.09,1.25,1.34,1.7,1.26,1.56,1.13,1.03,0.91,1.1,1.0
