,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.43,0.69,1.2,1.36,1.3,1.03,0.33,0.27,0.4,0.26,0.25,0.33,0.17,0.24,0.19,0.44
f_1,1.11,0.42,1.06,1.24,1.23,1.03,0.26,0.24,0.37,0.22,0.25,0.31,0.13,0.21,0.22,0.22
d_1,1.24,1.21,0.41,1.47,1.22,1.29,0.32,0.49,0.22,0.23,0.23,0.25,0.16,0.22,0.11,0.22
c_1,1.11,1.25,1.68,0.4,1.2,1.12,0.41,0.14,0.37,0.39,0.27,0.25,0.17,0.23,0.17,0.19
b_1,1.48,1.56,1.61,0.7,0.38,1.31,0.43,0.27,0.42,0.47,0.54,0.27,0.22,0.29,0.22,0.28
a_1,1.56,2.01,1.85,1.4,0.79,0.33,0.44,0.4,0.56,0.37,0.41,0.37,0.29,0.7,0.24,0.27
h_1,2.2,2.39,2.04,2.15,1.95,2.07,0.3,0.5,0.7,0.4,0.45,0.44,0.49,0.42,0.35,0.47
d_0,1.53,2.27,4.32,2.28,2.47,2.33,0.73,0.34,0.78,0.6,0.47,0.51,0.35,0.5,0.4,0.53
g_1,2.82,2.63,2.01,2.66,2.7,2.17,0.55,0.61,0.27,0.47,0.53,0.47,0.27,0.45,0.47,0.43
c_0,2.56,2.65,1.31,4.33,2.57,2.84,0.74,0.9,0.58,0.31,0.56,0.57,0.4,0.46,0.41,0.56
b_0,2.42,2.38,2.21,3.23,4.12,2.91,0.69,0.55,0.69,0.3,0.3,0.48,0.34,0.42,0.37,0.45
f_0,2.6,4.17,2.6,2.57,2.34,2.33,0.69,0.58,0.47,0.52,0.51,0.29,0.32,0.43,0.23,0.51
h_0,2.94,2.96,2.88,3.14,3.08,2.64,1.16,0.62,0.86,0.59,0.56,0.61,0.59,0.46,0.43,0.54
a_0,3.51,3.38,2.73,3.14,4.32,4.62,0.93,0.63,0.91,0.58,0.37,0.67,0.5,0.29,0.49,0.68
g_0,3.13,3.91,3.03,3.26,3.94,3.06,0.63,0.72,1.23,0.61,0.62,0.59,0.39,0.64,0.47,0.76
e_0,4.67,4.25,3.37,3.22,2.7,2.84,0.87,0.65,0.76,0.61,0.58,0.34,0.46,0.6,0.33,0.28
