,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,1.04,0.95,1.58,1.83,3.43,19.08,34.21,28.19,29.47,45.37,51.88,82.66,93.15,115.64,118.67
d_1,0.98,1.0,1.13,1.13,1.51,2.81,15.26,25.18,20.53,33.25,42.75,43.56,71.76,81.81,93.13,85.4
f_1,1.02,0.88,1.0,1.15,1.48,2.96,12.47,22.56,23.4,23.32,35.88,37.87,65.8,79.73,78.06,94.8
c_1,0.64,0.88,0.9,1.0,1.76,2.79,13.86,15.35,20.55,20.11,25.67,34.91,57.65,64.39,81.46,84.58
b_1,0.54,0.66,0.68,0.57,1.0,3.18,10.72,13.37,15.74,19.36,24.4,24.69,48.42,42.14,61.14,65.79
a_1,0.29,0.35,0.34,0.35,0.32,1.0,5.35,7.63,8.2,8.58,14.31,12.87,23.48,27.45,28.78,33.72
h_1,0.05,0.06,0.08,0.07,0.09,0.18,1.0,1.33,1.69,1.61,2.26,2.36,4.36,5.09,5.48,6.38
d_0,0.03,0.04,0.04,0.07,0.07,0.14,0.77,1.0,1.11,0.91,1.61,1.6,3.22,3.52,3.81,4.31
g_1,0.04,0.05,0.04,0.05,0.06,0.13,0.6,0.87,1.0,1.1,1.55,2.05,2.56,3.08,4.19,4.26
c_0,0.03,0.03,0.04,0.05,0.05,0.11,0.63,1.14,0.9,1.0,1.92,1.56,3.02,3.41,3.45,3.4
b_0,0.02,0.02,0.03,0.04,0.04,0.07,0.43,0.64,0.68,0.54,1.0,1.14,2.1,2.99,2.32,2.32
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.41,0.66,0.48,0.65,0.88,1.0,1.66,2.2,3.43,2.18
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.23,0.31,0.38,0.33,0.47,0.58,1.0,1.01,1.13,1.49
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.19,0.29,0.34,0.28,0.35,0.47,0.99,1.0,1.14,1.13
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.26,0.25,0.27,0.46,0.31,0.83,0.89,1.0,1.0
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.23,0.24,0.31,0.42,0.48,0.65,0.91,1.0,1.01
