,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.36,0.54,0.35,0.37,0.23,0.28,0.45,0.21,0.28,0.25,0.27,0.25,0.2,0.14,0.19
f_1,0.74,0.94,0.39,0.37,0.3,0.29,0.21,0.25,0.2,0.23,0.24,0.14,0.22,0.15,0.12,0.19
c_1,0.38,0.46,0.94,0.4,0.57,0.25,0.3,0.21,0.25,0.14,0.18,0.25,0.23,0.18,0.17,0.16
d_1,0.45,0.5,0.4,0.95,0.37,0.23,0.27,0.17,0.25,0.43,0.31,0.24,0.25,0.23,0.19,0.19
b_1,0.4,0.44,0.42,0.43,0.94,0.53,0.25,0.27,0.26,0.32,0.2,0.25,0.27,0.15,0.19,0.25
a_1,0.64,0.55,0.43,0.52,0.35,0.93,0.4,0.34,0.3,0.3,0.31,0.22,0.31,0.13,0.22,0.22
h_1,0.68,0.97,0.67,0.58,0.62,0.37,0.76,0.44,0.53,0.35,0.38,0.4,0.26,0.31,0.26,0.33
d_0,0.61,0.69,1.22,0.51,0.59,0.4,0.44,0.65,0.46,0.34,0.44,0.4,0.38,0.28,0.33,0.39
g_1,0.72,0.68,0.63,1.0,0.59,0.4,0.37,0.34,0.74,0.49,0.39,0.51,0.43,0.21,0.35,0.25
c_0,0.7,0.82,0.53,0.68,0.49,0.46,0.52,0.53,0.37,0.66,0.73,0.46,0.46,0.38,0.33,0.35
b_0,0.79,0.83,0.86,0.74,0.36,0.4,0.47,0.5,0.48,0.4,0.65,0.44,0.45,0.56,0.34,0.36
f_0,0.68,0.56,0.81,0.88,0.68,0.51,0.46,0.5,0.43,0.46,0.43,0.66,0.47,0.38,0.53,0.33
h_0,0.78,1.03,0.78,0.87,0.58,0.53,0.37,0.52,0.53,0.48,0.44,0.39,0.36,0.34,0.34,0.5
a_0,0.86,1.08,0.78,0.8,0.62,0.39,0.49,0.54,0.52,0.56,0.44,0.41,0.5,0.62,0.37,0.38
e_0,0.65,1.0,0.95,0.84,0.79,0.58,0.52,0.49,0.52,0.41,0.46,0.37,0.54,0.32,0.63,0.37
g_0,0.8,0.8,0.84,1.23,0.66,0.55,0.53,0.45,0.37,0.57,0.46,0.71,0.43,0.34,0.39,0.33
