,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.82,1.21,1.87,1.98,4.57,19.4,31.17,48.29,32.2,49.59,48.93,87.92,91.75,109.72,112.5
f_1,1.23,1.0,1.23,1.46,1.68,3.42,15.25,27.19,30.25,29.29,38.58,45.71,62.31,67.72,76.44,125.67
d_1,0.83,0.82,1.0,1.12,1.48,3.42,12.89,17.86,24.36,36.29,32.98,38.65,62.6,57.85,80.48,68.01
c_1,0.54,0.7,0.89,1.0,1.53,2.2,11.1,18.32,14.12,18.76,24.68,25.38,49.44,52.45,65.7,68.49
b_1,0.51,0.59,0.67,0.66,1.0,3.16,11.3,17.33,16.54,21.87,25.52,27.63,44.71,47.65,51.82,68.64
a_1,0.22,0.29,0.3,0.45,0.31,1.0,4.89,5.62,7.33,7.78,10.04,12.94,18.23,18.24,20.62,32.37
h_1,0.05,0.07,0.08,0.09,0.09,0.21,1.0,1.87,1.63,1.85,2.45,2.79,4.22,4.42,5.01,7.46
g_1,0.03,0.04,0.06,0.06,0.06,0.18,0.55,1.0,1.05,1.19,1.96,1.65,2.52,3.27,4.38,3.64
d_0,0.02,0.03,0.04,0.07,0.06,0.14,0.6,0.96,1.0,0.99,1.34,1.5,2.34,2.75,3.12,4.3
c_0,0.03,0.03,0.03,0.05,0.05,0.13,0.54,0.78,1.03,1.0,1.37,2.34,2.59,2.8,2.85,3.77
f_0,0.02,0.02,0.03,0.04,0.04,0.1,0.41,0.51,0.7,0.71,1.0,1.16,1.88,2.0,3.33,2.58
b_0,0.02,0.02,0.03,0.04,0.04,0.07,0.37,0.58,0.63,0.44,0.87,1.0,1.83,2.52,2.14,2.57
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.23,0.38,0.41,0.39,0.54,0.53,1.0,0.89,1.24,1.68
a_0,0.01,0.02,0.02,0.02,0.02,0.06,0.22,0.31,0.35,0.36,0.49,0.41,1.06,1.0,1.23,1.39
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.19,0.22,0.35,0.36,0.29,0.47,0.78,0.84,1.0,1.25
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.27,0.24,0.26,0.39,0.4,0.58,0.73,0.76,1.0
