,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.76,1.39,1.18,1.35,3.94,25.76,33.29,27.77,27.63,40.16,63.98,76.06,92.13,,126.65
f_1,1.31,1.0,1.03,1.2,1.28,3.69,15.58,25.12,34.56,31.17,38.85,,75.46,68.7,109.98,124.79
c_1,0.72,0.97,1.0,1.27,1.42,2.71,16.08,16.74,,26.21,33.25,44.15,62.19,68.2,114.87,104.07
d_1,0.85,0.83,0.79,1.0,1.07,3.71,18.86,,28.34,23.58,37.67,47.81,69.7,81.41,83.43,71.36
b_1,0.74,0.78,0.71,0.94,1.0,3.79,13.78,17.64,24.93,27.73,,31.69,59.6,63.82,66.77,91.34
a_1,0.25,0.27,0.37,0.27,0.26,1.0,6.12,7.76,8.23,10.21,12.79,12.52,,27.36,,46.52
h_1,0.04,0.06,0.06,0.05,0.07,0.16,1.0,1.46,1.82,2.37,2.22,2.39,3.76,,4.81,6.2
d_0,0.03,0.04,0.06,,0.06,0.13,0.69,1.0,1.43,1.32,1.87,1.79,2.35,3.08,3.84,4.62
c_0,0.04,0.03,,0.04,0.04,0.12,0.55,0.7,1.0,1.29,2.02,1.63,2.16,2.63,2.86,3.13
g_1,0.04,0.03,0.04,0.04,0.04,0.1,0.42,0.76,0.77,1.0,1.27,1.79,2.35,1.98,,
b_0,0.02,0.03,0.03,0.03,,0.08,0.45,0.54,0.49,0.79,1.0,0.94,2.88,1.75,,2.94
f_0,0.02,,0.02,0.02,0.03,0.08,0.42,0.56,0.61,0.56,1.06,1.0,2.09,2.02,3.27,1.71
a_0,0.01,0.01,0.02,0.01,0.02,,0.27,0.43,0.46,0.42,0.35,0.48,1.0,,,1.19
h_0,0.01,0.01,0.01,0.01,0.02,0.04,,0.33,0.38,0.5,0.57,0.49,,,1.53,2.01
e_0,,0.01,0.01,0.01,0.01,,0.21,0.26,0.35,,,0.31,,0.66,1.0,
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.16,0.22,0.32,,0.34,0.59,0.84,0.5,,
