,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.01,0.79,0.69,0.92,0.78,0.7,0.83,0.96,0.85,1.57,0.94,1.05,1.06,1.01,0.59,1.1
f_1,1.26,2.07,0.7,0.76,0.66,0.63,0.87,0.83,0.83,0.87,0.93,0.55,0.88,0.8,0.69,0.78
d_1,0.68,0.82,2.33,0.56,0.6,0.82,1.06,1.0,1.75,0.54,1.18,1.05,1.04,1.25,1.04,1.22
c_1,0.63,0.73,0.72,2.41,1.45,0.65,0.84,0.87,0.43,0.96,0.69,0.89,0.89,0.75,1.07,0.81
b_1,0.73,0.79,0.68,0.74,2.51,1.35,0.87,0.88,0.86,0.94,0.64,0.92,0.93,0.75,1.07,0.82
a_1,0.81,0.71,0.83,0.77,0.66,3.37,1.2,0.93,1.07,1.01,1.11,1.03,1.11,0.73,1.16,0.92
h_1,0.85,1.06,1.0,0.77,0.62,0.74,2.13,1.24,1.06,0.88,1.0,1.2,0.77,1.07,0.96,1.44
g_1,0.73,0.68,1.24,0.8,0.72,0.84,0.96,2.28,1.14,0.85,1.12,1.85,1.02,0.95,1.22,0.74
c_0,0.81,0.96,1.0,0.64,0.64,0.73,1.18,1.06,1.76,0.94,1.93,1.15,1.13,1.5,1.24,1.33
d_0,0.8,0.93,0.55,1.56,0.9,0.73,1.06,0.93,0.65,1.53,0.91,1.02,1.07,0.83,0.98,0.96
b_0,0.83,0.84,1.07,0.87,0.58,0.52,1.2,1.08,1.11,0.93,1.99,1.15,1.3,2.29,1.02,1.26
f_0,0.65,0.79,0.94,0.93,0.77,0.77,1.16,1.17,1.17,1.12,1.23,1.97,1.21,1.2,2.22,1.15
h_0,0.84,1.19,0.91,0.78,0.68,0.57,0.85,1.44,0.98,1.03,1.12,1.0,0.96,1.38,1.11,1.37
a_0,0.85,0.91,0.96,0.88,0.65,0.59,1.22,1.23,1.29,1.14,1.15,1.16,1.15,2.26,1.23,1.32
e_0,0.54,1.05,0.98,0.98,0.83,0.82,1.27,1.12,1.0,1.0,1.11,0.89,1.16,0.86,2.39,1.09
g_0,0.64,0.76,1.42,0.85,0.71,0.8,1.0,1.01,1.13,0.86,1.27,1.59,1.07,1.22,1.16,0.94
