,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.13,2.72,4.84,5.87,5.41,5.9,1.49,1.6,1.2,0.98,1.28,0.97,0.77,1.0,1.93,0.84
f_1,4.64,1.12,5.22,4.59,4.69,4.44,1.22,1.65,1.06,1.07,2.15,1.16,0.54,1.06,0.91,0.92
d_1,6.28,5.79,1.12,5.74,6.55,5.52,1.44,0.94,2.46,1.07,0.95,1.04,0.77,0.92,1.14,0.43
c_1,5.39,6.48,8.33,1.13,5.91,5.02,1.77,2.29,0.66,2.9,1.09,1.27,0.8,1.24,1.25,0.75
b_1,6.56,7.27,6.86,3.72,1.14,6.83,2.18,2.41,1.31,1.7,1.62,3.36,1.2,1.65,1.33,1.14
a_1,10.63,13.98,9.31,13.14,5.29,1.14,3.49,3.16,2.4,2.09,2.54,2.37,1.65,4.35,1.8,2.16
h_1,15.32,17.56,18.37,18.15,14.24,14.65,1.76,5.02,3.36,3.62,3.26,3.98,4.97,3.06,2.75,2.44
g_1,19.6,25.21,17.97,25.38,19.15,28.83,4.03,1.8,4.83,4.3,4.02,4.33,2.41,4.54,4.62,5.18
d_0,11.82,23.76,38.66,22.52,23.94,23.89,7.48,8.45,2.53,4.58,4.8,4.92,3.14,4.64,4.68,4.24
c_0,24.73,28.95,11.2,56.51,22.58,23.28,6.95,6.53,6.11,2.31,4.72,6.52,4.31,5.43,4.36,3.42
f_0,24.25,56.15,23.42,27.99,26.45,25.58,6.69,4.35,5.01,4.22,2.35,4.87,4.19,5.1,4.62,3.17
b_0,25.91,32.23,22.62,34.43,49.59,25.94,8.24,6.9,5.69,2.79,4.5,2.35,3.88,5.43,5.34,3.63
h_0,29.33,37.82,30.79,30.56,38.04,33.63,17.45,9.45,7.09,6.89,6.72,5.76,7.91,5.66,6.42,5.03
a_0,30.51,53.71,39.12,33.28,40.84,67.26,10.99,8.25,6.73,6.61,6.21,3.89,5.34,2.61,5.74,4.82
e_0,56.46,50.77,34.64,35.65,42.72,45.4,9.27,7.89,8.88,8.43,3.99,6.68,5.55,6.77,2.67,5.33
g_0,55.63,44.12,42.09,42.18,38.57,35.61,9.08,20.51,8.43,7.04,7.05,7.31,4.59,8.43,7.02,10.06
