,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,95.6,55.35,55.65,82.74,131.17,309.44,9217.91,24421.13,14030.1,15349.13,31436.21,36505.73,77254.54,91146.72,121305.72,146327.4
f_1,39.62,110.64,91.06,87.65,96.82,285.74,7252.77,12422.51,12015.24,18858.85,23344.58,17018.41,60873.79,72935.51,101095.7,85787.34
e_1,42.49,44.19,120.54,103.6,123.6,319.78,6621.85,12460.16,11369.74,25717.48,23976.73,35203.22,68512.18,75489.67,104397.76,60510.65
c_1,38.94,39.95,42.12,182.49,167.19,223.91,4407.73,5727.29,9605.04,11445.33,12681.51,23708.15,54805.75,55253.96,85499.96,93797.83
b_1,34.07,40.25,39.2,52.59,222.16,442.95,6015.01,10588.77,9757.1,11021.45,14020.33,28273.51,53081.0,51998.23,86875.9,80559.23
a_1,24.52,34.73,28.97,57.45,44.77,505.09,4212.72,7700.99,7858.36,8603.52,15716.51,20393.18,43187.66,28448.23,70573.05,44824.79
h_1,10.23,16.22,14.77,30.76,24.05,70.79,3201.75,3477.71,5066.39,3954.84,5580.62,9090.05,13966.52,20939.56,34171.6,25091.43
c_0,8.38,11.5,12.42,21.0,22.62,68.93,1796.18,4423.43,3517.29,3974.0,9140.17,7248.49,15900.76,23049.69,27711.74,25330.61
g_1,12.22,11.12,10.68,21.86,22.17,58.08,1354.36,2706.62,5197.2,2789.02,4418.29,9306.49,13861.25,15557.56,20944.94,22415.19
d_0,5.88,10.7,10.3,33.84,27.32,58.99,1530.59,2332.09,2912.78,5086.47,5237.09,6419.14,14195.71,14705.59,19742.77,17896.1
b_0,7.09,10.92,9.84,22.82,16.35,57.42,1487.48,2155.75,2761.7,2954.34,6677.22,7167.8,13809.75,25775.82,20845.64,21017.92
f_0,7.94,7.59,7.36,19.2,20.13,46.66,1181.91,2467.86,2446.31,2932.62,3685.64,8624.41,12057.78,17460.7,17155.14,33282.85
h_0,6.33,9.5,7.68,14.04,16.31,34.85,852.34,1851.85,2205.78,2379.28,3028.16,4493.47,7442.63,10877.94,19217.58,14613.82
a_0,5.88,7.18,6.98,13.37,14.04,24.88,1171.56,1612.91,1735.65,2227.6,2470.89,3928.25,10045.01,17191.41,15881.08,14599.22
g_0,7.33,5.5,6.08,12.33,12.41,31.82,822.36,1690.88,1508.75,1876.08,2697.86,5764.33,7256.63,9218.37,10974.56,14945.02
e_0,4.51,7.7,4.77,10.4,13.71,40.4,1054.38,1693.75,1928.37,2316.92,2509.08,3139.3,7972.54,9293.89,10751.66,20818.8
