,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,35.95,0.06,0.05,0.05,0.07,0.11,0.29,0.3,,0.72,0.33,0.36,0.66,0.42,0.62,0.4
f_1,0.05,37.11,0.12,0.08,0.06,0.07,0.28,0.25,0.33,0.36,0.35,,0.7,0.41,0.67,0.21
e_1,0.07,0.07,37.38,0.06,0.06,0.08,0.25,0.28,0.65,0.36,0.38,0.42,0.44,0.3,0.48,
c_1,0.05,0.05,0.06,46.29,0.12,0.06,0.35,0.38,0.44,,0.25,0.43,0.52,0.35,0.58,0.49
b_1,0.08,0.07,0.07,0.07,50.2,0.12,0.24,0.25,0.36,0.32,,0.45,0.53,0.4,0.6,0.4
a_1,0.07,0.08,0.07,0.06,,73.81,0.35,0.34,0.43,0.36,0.28,0.4,0.51,,0.53,
h_1,0.24,0.34,0.24,0.3,0.26,0.2,27.99,1.78,1.5,1.36,1.04,1.23,,1.59,3.26,1.1
g_1,0.43,0.23,0.24,0.32,0.3,,0.97,32.52,1.23,1.53,1.49,1.76,2.24,1.24,,
d_0,,0.34,0.34,0.64,0.38,0.32,1.92,1.03,16.7,1.77,2.11,2.06,3.32,1.66,2.99,2.62
c_0,0.37,0.29,0.22,,0.38,0.39,1.51,1.16,2.46,16.25,3.63,2.12,3.43,2.17,2.64,2.81
b_0,0.38,0.35,0.28,0.39,,0.26,1.59,1.73,1.99,1.86,21.18,1.12,3.42,2.77,2.75,1.61
f_0,0.38,,0.31,0.28,0.42,0.36,1.65,1.5,2.07,2.21,2.07,21.53,2.65,1.96,2.28,4.52
h_0,0.51,0.93,0.51,0.38,0.62,0.53,,2.54,2.93,3.81,2.46,2.79,,2.85,5.29,2.51
a_0,0.27,0.42,0.39,0.49,,,1.53,,2.33,1.91,2.18,1.85,3.61,28.31,2.78,
g_0,0.87,0.5,0.7,0.48,0.55,0.47,1.88,,2.29,3.18,2.31,5.5,4.25,1.89,,
e_0,0.42,0.3,,0.26,0.33,,1.74,1.08,1.78,1.72,3.0,2.21,4.16,1.93,2.46,35.51
