,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.17,22.47,11.78,16.07,12.06,12.05,3.77,1.92,2.71,,2.7,2.28,1.94,1.21,2.15,1.72
e_1,11.98,0.17,7.16,12.61,10.76,10.65,5.89,5.05,2.49,2.72,3.28,2.34,1.99,1.86,2.82,
f_1,15.24,13.21,0.17,12.12,10.08,13.82,3.13,3.47,2.81,2.19,2.83,,1.24,1.57,2.71,3.29
c_1,14.61,11.69,10.23,0.15,15.0,10.71,3.95,4.1,,1.44,2.08,3.18,1.89,2.1,2.08,3.53
b_1,11.73,13.11,16.13,8.93,0.14,13.24,2.55,3.04,3.39,2.84,,3.08,1.51,2.11,,2.24
a_1,17.01,9.59,16.25,12.85,7.76,0.09,4.43,2.36,3.81,2.77,4.31,2.51,2.07,1.52,,
h_1,3.46,3.99,2.83,2.7,3.23,5.11,0.07,1.06,0.55,0.57,1.02,0.75,,0.42,0.56,0.54
g_1,3.28,3.61,7.47,3.23,3.95,4.17,0.5,0.06,0.75,0.92,0.62,0.83,0.27,,,
c_0,1.27,2.76,2.73,,3.12,2.54,0.49,0.94,0.08,0.73,0.57,0.41,0.35,0.32,0.66,0.6
d_0,,1.51,2.3,2.5,2.33,3.09,0.84,0.84,0.61,0.08,0.38,0.53,0.34,0.41,0.82,0.47
b_0,2.41,2.46,2.93,5.27,,2.97,0.79,0.51,0.25,0.56,0.07,0.54,0.33,0.49,0.68,
f_0,2.89,2.67,,3.71,2.79,2.23,0.78,0.47,0.6,0.49,0.49,0.06,0.48,0.18,0.44,0.45
h_0,1.61,1.73,1.5,1.27,1.61,1.53,,0.77,0.32,0.32,0.37,0.3,,0.29,,0.31
g_0,1.39,1.69,2.59,1.79,1.76,1.81,0.31,,0.33,0.34,0.36,0.42,0.18,,,0.47
a_0,4.14,2.97,2.86,1.91,,,0.73,,0.45,0.47,0.25,0.41,,,0.04,
e_0,3.98,,2.6,1.84,2.87,,0.79,,0.42,0.59,,0.33,0.25,0.32,,0.04
