,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.42,1.63,1.41,1.15,1.21,1.21,0.74,0.48,0.66,1.28,0.58,0.53,0.45,0.62,0.52,0.34
e_1,1.26,0.41,0.85,1.29,1.41,1.28,0.83,0.76,0.57,0.77,0.54,0.72,0.51,0.66,1.36,0.59
f_1,1.14,1.48,0.41,1.4,1.26,1.16,0.54,1.06,0.54,0.52,0.55,1.17,0.37,0.51,0.53,0.46
c_1,1.58,1.2,1.17,0.38,1.69,1.32,0.74,0.58,0.9,0.36,0.62,0.62,0.48,0.47,0.44,0.57
b_1,1.45,1.28,1.32,0.8,0.36,2.06,0.66,0.68,0.65,0.52,1.79,0.56,0.38,0.57,0.7,0.55
a_1,1.75,1.17,1.52,1.36,0.7,0.3,0.64,0.76,0.59,0.66,0.76,0.54,0.84,1.25,0.64,0.46
h_1,0.85,0.96,1.25,0.88,0.92,1.02,0.26,0.69,0.47,0.45,0.42,0.37,0.67,0.36,0.39,0.4
g_1,1.03,0.97,0.95,1.17,1.01,0.83,0.41,0.24,0.42,0.39,0.48,0.41,0.33,0.5,0.51,0.61
c_0,0.59,1.04,1.0,2.64,1.02,1.02,0.52,0.56,0.28,0.53,0.45,0.43,0.39,0.36,0.47,0.39
d_0,1.68,0.54,1.13,1.16,1.05,0.9,0.5,0.73,0.4,0.27,0.45,0.47,0.4,0.47,0.42,0.42
b_0,0.8,0.92,0.96,1.23,1.36,0.88,0.51,0.52,0.25,0.5,0.25,0.42,0.48,0.53,0.44,0.46
f_0,0.86,0.81,1.57,0.95,1.07,0.87,0.51,0.43,0.45,0.42,0.49,0.25,0.49,0.44,0.56,0.27
h_0,0.98,0.84,1.03,1.01,1.3,0.65,0.89,0.53,0.36,0.41,0.39,0.36,0.65,0.38,0.4,0.42
a_0,0.83,0.75,1.28,1.49,1.29,1.16,0.65,0.43,0.39,0.49,0.24,0.44,0.35,0.22,0.42,0.36
e_0,0.91,1.49,1.19,1.41,0.77,0.83,0.44,0.45,0.4,0.39,0.47,0.23,0.45,0.41,0.21,0.41
g_0,1.0,0.87,1.29,0.89,0.94,0.83,0.43,0.69,0.41,0.44,0.35,0.53,0.31,0.41,0.41,0.58
