,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,104.62,79.38,58.9,69.43,105.06,311.02,4612.97,16455.85,13469.9,13209.51,29785.87,26563.78,71192.26,89825.01,137539.52,113065.21
e_1,42.95,108.6,52.64,95.32,108.76,304.51,6204.28,26452.85,16337.3,18950.45,31819.46,43371.0,78603.78,85292.73,138883.55,83499.65
d_1,50.03,48.17,126.99,49.24,99.37,374.98,5048.0,10905.93,12193.46,26911.7,32815.53,39254.83,89112.03,70894.44,110285.01,104982.35
c_1,45.13,38.58,56.82,143.19,151.96,317.93,4379.8,11573.36,14907.24,7209.89,22034.66,38605.65,86252.81,77798.79,98868.58,104202.2
b_1,36.54,34.7,49.1,51.72,207.52,464.75,4182.61,12040.58,12705.58,13862.21,13445.51,29664.39,60290.93,49628.34,103510.84,90909.98
a_1,27.12,27.18,34.35,38.29,44.38,552.16,3454.38,9278.45,8382.3,9651.72,20139.16,21357.66,48012.22,32700.89,59208.96,55779.91
h_1,18.4,12.57,17.17,22.31,31.05,88.01,2568.5,4716.59,5644.74,5142.11,7789.22,9505.35,17513.34,20567.83,48474.37,28131.4
d_0,10.33,9.05,8.2,25.21,20.9,64.96,1182.82,4960.04,2843.85,3339.83,5892.25,9196.42,18497.12,16008.08,30616.38,24137.85
g_1,11.49,9.02,17.78,13.63,19.72,69.14,989.17,2916.58,5839.25,3543.73,6415.92,11366.05,14726.52,13754.19,19068.99,21254.74
c_0,11.23,10.8,11.87,12.4,15.59,68.3,1191.28,3651.92,2797.34,5385.99,11169.77,8149.78,17306.3,21653.2,29905.94,23637.11
b_0,8.75,9.0,11.0,12.55,13.02,40.69,1166.05,3215.94,2699.67,2774.5,7965.73,7314.27,14230.96,24715.77,23329.18,18825.62
f_0,5.82,7.03,10.43,11.49,18.77,53.1,1042.46,2841.99,2249.52,3003.2,5626.87,9499.96,14757.57,12936.83,17217.76,29362.26
h_0,7.89,6.41,8.18,9.12,16.11,43.78,545.18,1860.11,2796.42,2086.61,4136.2,4915.69,8725.45,9710.21,20843.07,11774.41
a_0,6.44,6.3,7.81,8.67,13.61,32.6,722.19,2379.57,2116.26,2016.27,3382.88,5620.46,12103.17,17089.93,15003.09,13411.37
g_0,4.9,4.81,9.13,9.55,12.36,46.26,529.1,1699.98,1357.79,1850.4,3752.59,6480.85,8890.09,9128.26,11219.58,12558.35
e_0,5.94,4.07,7.24,7.95,12.07,40.0,816.35,1753.73,1813.07,2044.62,3864.22,3753.71,11450.15,9134.73,12703.56,23223.56
