,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,113.41,30.2,37.09,45.62,70.03,165.9,5169.97,17834.79,10337.83,12905.99,14529.8,24947.75,56322.86,113785.03,39314.52,104989.95
d_1,32.5,120.36,38.64,37.01,59.07,191.72,5111.46,5237.71,18009.65,9255.36,18273.71,22567.06,60762.49,68633.52,95563.11,99157.15
f_1,52.26,36.07,122.95,42.48,48.9,236.47,4629.47,8338.59,9971.34,9430.29,14789.7,8443.5,51504.44,93594.9,71308.46,98085.71
c_1,33.43,32.02,36.5,127.31,115.93,161.34,5805.79,8101.83,4481.52,9385.49,13149.13,24007.94,48037.75,75390.15,80842.02,80765.2
b_1,30.29,34.67,39.06,23.5,193.5,312.17,3712.69,8140.91,8460.23,9323.14,6218.52,15876.1,46853.36,63132.32,42873.0,61135.65
a_1,22.47,21.53,21.91,25.92,23.07,496.66,3359.84,6438.89,6751.63,7169.14,10170.35,13719.0,26889.18,46472.5,31152.76,26761.44
h_1,11.34,12.19,14.59,13.11,22.47,59.37,3220.33,3424.18,3517.03,4266.24,4860.37,6852.19,9782.02,29807.68,21841.14,34569.66
d_0,6.96,3.93,13.14,18.64,17.17,52.68,1235.83,4363.05,2394.9,2362.34,4821.93,4721.82,13091.47,21056.8,16477.31,28668.1
c_0,9.5,9.83,10.78,6.53,17.57,49.78,1125.84,2793.9,4720.3,2445.22,7305.52,6872.17,12786.3,24154.49,22551.52,27826.53
g_1,6.08,14.75,9.12,11.25,15.23,35.8,1041.39,2573.38,2807.52,5873.47,4335.72,8129.23,9485.78,17967.53,19447.21,22474.71
b_0,7.75,9.06,9.79,10.34,10.57,34.09,1572.22,2004.14,2332.22,2404.05,6643.13,5211.74,11580.26,20343.29,15304.98,41860.74
f_0,6.81,9.06,4.85,7.48,17.01,42.71,1121.56,2421.5,2311.95,1745.58,3491.26,7901.04,11184.75,20371.83,22783.18,18623.05
h_0,5.94,5.98,8.23,6.25,9.54,30.73,533.8,1622.32,1816.61,2493.2,2734.2,3455.58,5690.71,15923.13,10153.21,12458.89
g_0,3.96,8.28,3.73,6.39,9.1,28.03,703.45,1270.34,1319.72,846.2,1908.23,4074.15,6492.79,7225.27,8820.44,11539.7
e_0,2.56,5.01,5.56,5.94,10.47,33.53,772.39,1497.91,1593.14,1439.73,2706.83,3330.7,9557.42,15748.3,21956.29,11367.51
a_0,3.72,5.25,4.86,5.71,9.35,,702.43,1483.92,1291.97,1486.39,1662.76,3117.67,8822.3,10561.99,11056.85,24627.14
