,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.14,6.56,11.49,10.89,10.04,13.5,3.26,3.13,2.8,2.18,2.68,2.74,3.08,1.98,1.45,10.65
f_1,9.6,1.14,10.69,10.08,10.12,13.2,2.35,5.95,2.48,2.16,2.03,9.62,2.17,1.1,2.26,1.85
d_1,14.12,10.43,1.14,13.99,10.94,11.1,3.93,2.23,9.57,2.0,2.79,1.99,2.05,1.6,1.27,2.31
c_1,12.36,12.59,15.59,1.14,13.05,10.64,3.21,2.94,1.3,8.73,2.68,2.04,2.86,1.78,2.17,2.48
b_1,19.35,18.31,13.86,7.67,1.15,15.2,3.91,4.28,3.27,4.02,12.77,4.69,3.88,2.08,2.07,2.2
a_1,25.76,23.0,20.04,33.11,12.8,1.15,10.59,5.59,5.4,4.46,4.29,4.16,27.38,3.23,2.9,4.85
h_1,26.51,23.45,24.58,27.5,31.41,22.61,1.89,6.76,5.49,6.42,5.66,4.54,4.76,10.31,5.01,5.5
g_1,30.74,33.53,30.89,32.13,35.54,30.15,6.83,1.92,6.5,6.01,5.13,4.81,5.34,3.49,7.15,5.5
d_0,16.94,37.37,124.7,34.89,37.51,30.66,10.33,12.61,2.63,8.09,7.14,6.2,6.26,5.55,4.6,5.16
c_0,29.03,45.42,16.27,124.81,48.23,34.13,10.21,9.66,9.18,2.61,7.32,8.33,6.84,5.28,4.94,6.88
b_0,34.19,32.04,28.78,49.17,150.06,38.49,9.98,11.27,7.88,4.4,2.52,7.25,6.95,6.77,6.72,6.47
f_0,36.58,108.73,38.26,37.73,37.0,44.12,10.21,6.76,7.05,6.36,6.59,2.71,8.11,9.02,3.0,6.88
a_0,47.51,47.21,47.42,55.95,60.02,,14.71,17.3,14.26,9.1,5.26,9.3,2.62,5.77,6.72,13.75
h_0,46.9,69.0,42.09,47.03,55.12,39.33,31.0,21.26,11.36,10.74,9.23,8.86,13.69,18.83,6.59,8.05
g_0,62.0,62.95,74.82,67.6,79.44,64.61,14.97,37.2,13.4,11.91,11.76,13.61,11.23,6.37,17.68,11.38
e_0,93.79,96.97,80.17,62.4,69.26,45.22,15.23,17.3,10.47,17.7,13.95,5.47,11.23,9.02,9.33,3.06
