,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,92.88,19.5,15.44,20.42,31.48,80.35,2233.39,4217.19,3737.27,5272.51,,8484.03,16431.46,34908.71,26486.1,45767.15
e_1,9.15,96.68,18.56,15.17,28.14,75.59,2206.51,6502.35,5024.95,5612.03,6008.64,8358.52,22689.44,,36225.22,28661.98
c_1,10.74,8.83,138.92,13.92,42.61,68.36,2208.87,3237.65,3712.66,,5957.35,5946.76,16890.5,,26911.56,45617.67
d_1,8.08,10.69,16.01,147.12,22.76,60.99,2551.1,,3443.42,7173.09,7154.74,5563.12,13302.9,25492.7,30055.77,29173.14
b_1,8.01,8.24,10.88,15.81,226.95,77.93,1608.99,3042.73,2682.7,3636.5,4169.91,,14620.11,,24228.9,27885.64
a_1,5.73,5.66,11.94,9.65,14.74,450.47,1363.63,2784.66,2086.12,,3226.37,,10955.45,18478.73,,22485.92
h_1,6.3,3.66,8.07,6.11,13.74,24.48,3642.98,1489.53,2376.12,3019.66,1932.42,3061.59,,10434.73,14758.44,17409.98
d_0,5.05,3.98,9.42,,13.29,24.64,1067.64,4172.89,1555.6,2713.55,3439.72,2774.47,8204.47,9039.4,13468.35,20004.44
g_1,4.08,2.79,4.49,9.37,9.64,24.07,675.03,1348.04,5812.92,1451.18,3669.14,2628.31,4762.04,,11988.69,
c_0,4.01,4.59,,7.05,10.77,,822.77,1134.29,1640.63,5438.13,3200.34,5044.61,6368.42,11956.26,12550.96,11239.52
f_0,,4.13,6.07,5.88,11.65,24.49,970.68,1236.46,1140.93,2036.89,6452.46,2963.55,7654.26,19439.88,,14276.8
b_0,3.29,4.01,7.42,5.33,,,848.96,1354.31,1625.66,1714.28,2204.27,7394.09,6425.63,8458.69,14934.82,12749.94
h_0,4.61,3.21,5.85,6.46,11.39,20.82,,1244.66,1870.24,1921.42,1969.67,3225.45,,9205.37,8182.0,13985.98
e_0,1.74,,,4.74,,18.46,586.03,1169.74,,1363.65,1076.24,2305.14,3979.97,22804.44,,9982.54
a_0,2.69,1.82,3.54,3.68,5.59,,504.56,861.46,769.47,1344.34,,1594.04,3850.97,,23199.61,
g_0,1.95,3.07,3.66,7.06,9.68,17.45,676.47,709.28,,1702.69,2260.67,2029.95,4308.56,8429.39,,
