,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.95,0.47,1.24,0.53,0.5,0.29,0.92,0.81,0.77,0.77,1.0,0.29,0.73,0.72,0.5,0.85
d_1,0.65,19.77,0.41,0.4,0.53,0.53,0.93,0.32,0.97,2.15,0.98,0.98,1.09,1.26,1.17,0.95
e_1,0.53,0.48,17.3,0.68,0.47,0.61,0.83,2.07,0.8,0.82,1.03,1.06,0.96,0.84,0.51,0.85
c_1,0.5,0.52,0.44,20.37,1.06,0.57,0.65,0.92,0.86,0.29,0.75,0.92,0.93,0.96,0.71,0.96
b_1,0.42,0.69,0.48,0.45,22.29,1.22,0.88,0.74,0.72,0.76,0.26,0.84,1.06,0.58,0.86,1.06
a_1,0.62,0.58,0.5,0.49,0.6,30.36,0.81,0.86,0.88,0.91,0.74,0.98,1.01,0.39,1.29,0.87
h_1,0.98,0.61,0.65,0.88,0.49,0.64,5.94,0.91,1.64,1.11,1.31,1.15,0.71,1.05,1.21,1.73
d_0,0.64,0.36,0.56,2.01,0.64,0.64,1.22,3.08,0.93,0.79,1.7,1.43,1.02,1.26,1.26,1.1
g_1,0.61,1.17,0.47,0.69,0.6,0.5,1.22,1.07,7.17,1.01,1.31,2.24,1.37,1.39,1.31,0.72
c_0,0.81,0.64,0.8,0.39,0.48,0.72,1.22,1.31,1.14,3.59,3.82,1.6,1.34,1.33,1.52,1.38
b_0,0.74,0.7,0.67,0.86,0.29,0.57,1.34,1.26,1.27,1.09,3.74,1.19,1.58,3.34,1.81,1.34
f_0,0.43,0.78,0.5,0.87,0.78,0.79,1.08,1.34,1.17,1.46,1.26,4.25,1.21,1.23,3.59,1.33
h_0,1.32,0.75,0.56,0.71,0.61,0.55,0.79,1.13,1.83,1.01,1.12,1.27,0.61,1.08,1.24,1.72
a_0,0.62,0.77,0.6,0.75,0.67,0.32,1.61,1.38,1.03,1.54,1.28,1.56,1.91,5.35,1.28,1.76
e_0,0.94,0.72,0.31,0.86,0.48,0.73,1.41,1.03,1.49,1.24,1.47,1.28,1.6,1.93,5.88,1.25
g_0,0.63,1.23,0.51,0.75,0.67,0.8,1.01,1.01,0.45,1.23,1.35,2.28,0.96,1.5,1.57,0.69
