,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.04,0.58,0.77,1.0,0.74,0.6,1.06,1.59,0.86,0.91,1.07,1.01,0.99,1.1,0.86,0.96
d_1,0.7,2.22,0.81,0.6,0.71,0.62,0.94,0.64,0.96,1.71,1.23,1.14,1.06,0.96,1.09,1.19
f_1,1.21,0.72,2.12,0.71,0.71,0.67,0.84,0.91,0.84,0.82,0.97,0.55,1.01,1.01,0.69,0.84
c_1,0.68,0.71,0.75,2.26,1.37,0.74,0.95,0.93,0.88,0.47,0.65,0.93,0.88,0.91,0.92,0.94
b_1,0.7,0.81,0.76,0.71,2.49,1.56,0.87,0.78,0.91,0.89,0.5,0.89,0.92,0.6,0.89,0.88
a_1,0.78,0.86,0.88,0.8,0.58,3.53,0.98,0.88,1.05,0.97,0.9,0.96,1.05,0.63,0.98,0.97
h_1,0.77,0.94,1.19,0.79,0.74,0.65,2.0,0.84,1.29,0.95,1.11,0.93,0.75,1.15,0.99,1.25
d_0,0.83,0.59,0.82,1.54,0.82,0.77,1.12,1.57,0.98,0.69,1.15,0.88,1.06,1.16,0.97,0.99
g_1,0.72,1.27,0.69,0.8,0.77,0.74,0.97,0.83,2.48,1.07,1.0,1.89,0.9,1.04,1.22,0.9
c_0,0.78,1.0,1.01,0.62,0.59,0.8,1.05,1.11,1.07,1.81,2.1,1.16,1.33,1.3,1.21,1.08
b_0,0.88,0.88,0.92,0.95,0.51,0.54,1.18,1.09,1.15,1.03,1.92,1.22,1.17,2.19,1.22,1.07
f_0,0.72,1.03,0.61,0.87,0.8,0.84,1.09,1.14,1.2,1.17,1.16,2.13,1.01,1.3,2.47,1.21
h_0,0.79,1.02,0.97,0.95,0.67,0.8,0.73,0.96,1.33,1.04,1.02,1.06,0.86,1.03,1.04,1.52
a_0,0.91,1.01,0.83,0.98,0.84,0.42,1.03,1.1,1.25,0.94,1.04,1.05,1.26,2.1,1.15,0.98
e_0,0.66,1.1,0.88,0.82,0.77,0.69,1.18,1.34,1.11,1.11,1.32,1.12,1.42,1.27,2.55,1.34
g_0,0.7,1.37,0.78,0.8,0.72,0.64,1.05,0.93,0.77,1.26,1.16,1.5,1.08,1.1,1.15,0.82
