,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.41,0.82,0.87,0.96,0.79,0.22,0.22,0.27,0.18,0.18,0.19,0.12,0.17,0.46,0.12
f_1,0.69,0.17,0.54,0.87,0.99,0.75,0.15,0.19,0.26,0.14,0.15,0.36,0.08,0.15,0.13,0.14
d_1,0.98,0.78,0.15,1.05,0.71,0.63,0.22,0.35,0.13,0.13,0.13,0.18,0.11,0.13,0.13,0.07
c_1,0.6,0.89,1.11,0.15,0.71,0.68,0.23,0.08,0.34,0.33,0.17,0.17,0.11,0.16,0.15,0.11
b_1,0.8,0.92,1.11,0.36,0.14,1.1,0.26,0.15,0.21,0.27,0.58,0.13,0.1,0.2,0.13,0.11
a_1,0.94,0.88,0.83,0.93,0.37,0.1,0.29,0.18,0.2,0.17,0.18,0.14,0.13,0.36,0.21,0.13
h_1,0.63,0.64,0.55,0.66,0.59,0.53,0.06,0.16,0.17,0.11,0.12,0.12,0.19,0.11,0.12,0.1
d_0,0.34,0.7,1.07,0.65,0.7,0.63,0.18,0.07,0.24,0.11,0.12,0.12,0.1,0.11,0.11,0.11
g_1,0.62,0.73,0.67,0.7,0.61,0.52,0.14,0.16,0.05,0.14,0.13,0.12,0.08,0.15,0.11,0.13
c_0,0.67,0.58,0.31,1.85,0.69,0.71,0.21,0.2,0.18,0.06,0.12,0.13,0.1,0.13,0.11,0.09
b_0,0.55,0.61,0.51,0.85,1.38,0.58,0.17,0.14,0.2,0.07,0.05,0.12,0.12,0.09,0.12,0.1
f_0,0.63,1.06,0.72,0.64,0.52,0.48,0.2,0.14,0.1,0.12,0.12,0.05,0.11,0.12,0.1,0.07
h_0,0.59,0.7,0.62,0.6,0.58,0.45,0.31,0.11,0.18,0.13,0.11,0.12,0.15,0.1,0.09,0.09
a_0,0.44,0.67,0.71,0.69,0.74,1.33,0.22,0.12,0.17,0.1,0.07,0.12,0.1,0.04,0.11,0.07
e_0,0.96,0.77,0.51,0.65,0.57,0.55,0.19,0.13,0.15,0.12,0.1,0.06,0.08,0.13,0.04,0.08
g_0,0.65,0.68,0.57,0.71,0.58,0.58,0.11,0.12,0.3,0.1,0.1,0.13,0.07,0.11,0.1,0.15
