,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.46,2.15,4.0,4.31,5.4,5.74,1.21,0.76,0.89,0.63,1.46,1.1,0.66,0.95,3.41,0.88
f_1,3.77,0.46,4.56,4.1,3.78,3.77,0.78,1.0,0.64,0.88,1.16,2.28,0.48,0.97,0.68,0.74
c_1,3.76,4.29,0.43,8.13,3.92,4.18,1.13,0.45,3.39,0.98,1.36,0.9,0.53,0.87,1.0,0.55
d_1,5.33,5.27,4.23,0.41,4.34,4.64,1.19,4.54,0.79,1.03,0.87,0.88,0.59,0.94,0.82,0.42
b_1,4.54,5.23,2.47,5.06,0.39,5.63,1.78,1.39,1.05,5.12,1.66,1.37,1.13,1.13,0.89,0.58
a_1,7.11,6.65,5.9,5.33,3.03,0.33,1.65,1.82,1.74,1.72,1.74,0.99,0.75,4.95,1.14,1.02
h_1,5.53,5.68,4.84,4.95,5.58,4.45,0.35,1.06,0.91,0.9,1.17,0.97,1.58,1.01,0.95,0.82
d_0,3.01,6.93,6.26,13.34,4.96,4.78,2.03,0.44,1.16,1.01,1.84,0.88,0.95,0.93,1.84,0.88
c_0,6.39,6.85,26.69,2.98,6.4,4.19,1.91,1.32,0.42,1.02,1.29,1.11,0.75,1.02,1.0,0.64
b_0,4.78,8.45,10.22,4.13,17.62,5.5,1.93,1.09,0.83,0.39,1.57,1.1,0.92,1.06,1.27,1.07
g_1,7.24,7.11,8.39,4.95,9.14,6.48,1.32,1.3,1.31,1.26,0.28,0.98,0.75,0.87,0.96,2.92
f_0,6.06,23.32,7.74,5.0,6.29,5.78,1.79,1.78,1.2,1.39,1.22,0.35,0.82,1.11,1.09,0.53
h_0,6.04,8.6,8.64,6.45,8.11,4.94,7.95,1.44,1.37,1.61,2.24,1.09,2.13,1.55,1.14,0.96
a_0,6.17,6.38,9.89,7.16,7.99,17.39,3.28,1.63,1.35,0.74,1.64,1.61,1.01,0.34,1.36,1.07
e_0,19.2,9.36,6.08,6.72,7.12,5.38,1.8,1.71,1.5,2.25,2.3,0.72,1.14,1.48,0.35,1.28
g_0,7.65,9.36,7.34,6.55,8.93,9.28,2.02,1.55,1.76,1.52,,1.44,0.88,1.44,1.62,2.66
