,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.26,0.5,0.44,0.63,0.39,0.36,0.89,0.8,1.91,1.07,1.01,0.83,1.06,1.36,0.35,0.83
f_1,0.9,2.3,0.44,0.45,0.37,0.33,0.78,0.59,0.91,0.88,0.94,0.3,0.73,1.04,0.55,0.98
d_1,0.43,0.54,2.41,0.37,0.41,0.34,1.0,0.86,0.56,1.95,1.19,1.04,0.91,1.22,0.92,1.35
c_1,0.47,0.43,0.51,2.43,0.87,0.29,0.85,0.8,0.92,0.35,0.63,0.75,0.87,1.04,0.8,0.95
b_1,0.48,0.57,0.48,0.42,2.58,0.69,0.75,0.94,0.91,0.58,0.33,0.88,0.63,1.39,0.73,1.06
a_1,0.46,0.53,0.46,0.46,0.47,3.11,0.94,0.89,0.85,1.05,1.02,0.95,0.57,1.46,1.0,1.02
h_1,0.49,0.88,0.6,0.61,0.53,0.36,2.99,1.31,1.03,1.06,1.15,1.11,1.03,0.8,1.05,1.73
g_1,0.6,0.44,0.92,0.65,0.47,0.28,1.1,3.22,1.25,1.12,1.05,1.72,1.11,1.74,0.97,0.67
d_0,0.66,0.57,0.32,1.08,0.53,0.41,1.1,0.93,2.5,0.92,1.12,1.12,1.03,1.47,1.09,1.19
c_0,0.62,0.62,0.68,0.41,0.43,0.39,1.1,0.98,1.36,2.67,2.56,1.52,1.39,1.93,1.1,1.4
b_0,0.69,0.68,0.6,0.58,0.29,0.33,1.12,0.95,1.37,1.35,2.91,1.35,2.51,1.74,1.06,1.24
f_0,0.5,0.33,0.65,0.62,0.45,0.69,0.95,0.93,1.64,1.48,1.18,3.04,1.34,2.01,2.38,1.48
a_0,0.65,0.68,0.63,0.55,0.61,0.19,1.19,0.94,1.19,1.31,1.39,1.44,2.62,1.62,1.45,1.54
h_0,0.6,0.91,0.64,0.65,0.53,0.4,0.61,1.03,1.13,1.09,1.13,0.95,0.95,0.81,1.24,1.8
e_0,0.4,0.7,0.59,0.68,0.5,0.49,1.39,1.04,1.14,1.17,1.21,1.19,1.04,1.48,3.06,1.66
g_0,0.48,0.62,1.1,0.59,0.42,0.34,0.99,0.68,1.06,1.44,1.14,1.95,0.95,1.49,1.21,0.89
