,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.17,1.0,1.75,1.66,1.53,2.06,0.5,0.48,0.43,0.33,0.41,0.42,0.47,0.3,0.22,1.62
f_1,1.44,0.17,1.6,1.51,1.51,1.97,0.35,0.89,0.37,0.32,0.3,1.44,0.32,0.16,0.34,0.28
d_1,1.98,1.46,0.16,1.96,1.53,1.56,0.55,0.31,1.34,0.28,0.39,0.28,0.29,0.22,0.18,0.32
c_1,1.67,1.7,2.11,0.15,1.76,1.44,0.43,0.4,0.18,1.18,0.36,0.28,0.39,0.24,0.29,0.34
b_1,2.18,2.06,1.56,0.86,0.13,1.71,0.44,0.48,0.37,0.45,1.44,0.53,0.44,0.23,0.23,0.25
a_1,1.94,1.73,1.51,2.5,0.96,0.09,0.8,0.42,0.41,0.34,0.32,0.31,2.06,0.24,0.22,0.37
h_1,0.96,0.85,0.89,0.99,1.14,0.82,0.07,0.24,0.2,0.23,0.2,0.16,0.17,0.37,0.18,0.2
g_1,0.95,1.04,0.96,1.0,1.1,0.93,0.21,0.06,0.2,0.19,0.16,0.15,0.17,0.11,0.22,0.17
d_0,0.47,1.04,3.48,0.97,1.05,0.86,0.29,0.35,0.07,0.23,0.2,0.17,0.17,0.15,0.13,0.14
c_0,0.79,1.24,0.44,3.41,1.32,0.93,0.28,0.26,0.25,0.07,0.2,0.23,0.19,0.14,0.13,0.19
b_0,0.85,0.8,0.72,1.23,3.75,0.96,0.25,0.28,0.2,0.11,0.06,0.18,0.17,0.17,0.17,0.16
f_0,0.85,2.53,0.89,0.88,0.86,1.03,0.24,0.16,0.16,0.15,0.15,0.06,0.19,0.21,0.07,0.16
a_0,0.87,0.86,0.87,1.02,1.1,,0.27,0.32,0.26,0.17,0.1,0.17,0.05,0.11,0.12,0.25
h_0,0.85,1.24,0.76,0.85,0.99,0.71,0.56,0.38,0.2,0.19,0.17,0.16,0.25,0.34,0.12,0.15
g_0,0.87,0.88,1.05,0.95,1.11,0.9,0.21,0.52,0.19,0.17,0.16,0.19,0.16,0.09,0.25,0.16
e_0,1.29,1.33,1.1,0.86,0.95,0.62,0.21,0.24,0.14,0.24,0.19,0.08,0.15,0.12,0.13,0.04
