,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.66,0.76,1.04,1.2,1.07,0.92,0.52,0.5,0.5,0.39,0.39,0.48,0.31,0.37,0.34,0.48
f_1,1.13,0.66,0.99,1.1,0.92,0.97,0.37,0.52,0.41,0.35,0.37,0.45,0.24,0.35,0.28,0.32
d_1,1.21,1.19,0.64,1.08,0.98,0.94,0.52,0.36,0.56,0.5,0.41,0.41,0.32,0.35,0.24,0.36
c_1,0.92,1.16,1.2,0.64,1.38,1.05,0.5,0.51,0.27,0.43,0.34,0.36,0.32,0.35,0.32,0.34
b_1,1.25,1.33,1.33,0.73,0.61,1.26,0.54,0.55,0.4,0.56,0.61,0.44,0.37,0.45,0.41,0.35
a_1,1.54,1.45,1.42,1.56,0.82,0.56,0.79,0.62,0.62,0.56,0.66,0.52,0.45,0.68,0.4,0.46
h_1,1.7,2.08,1.6,1.75,1.69,1.45,0.55,0.79,0.65,0.57,0.59,0.58,0.61,0.59,0.54,0.52
g_1,1.94,1.86,2.09,1.84,1.73,1.79,0.68,0.52,0.68,0.64,0.61,0.71,0.44,0.57,0.58,0.58
d_0,1.28,1.88,2.09,2.13,2.21,1.62,0.87,1.0,0.59,0.63,0.72,0.69,0.7,0.62,0.69,0.63
c_0,1.97,2.18,1.28,2.43,1.77,1.66,0.94,0.96,0.87,0.57,0.9,0.7,0.62,0.67,0.58,0.68
b_0,1.98,2.05,1.7,2.98,2.38,1.67,0.87,0.89,0.81,0.46,0.55,0.7,0.56,0.8,0.52,0.66
f_0,1.95,2.8,1.98,1.96,1.9,1.57,0.97,0.65,0.79,0.8,0.7,0.54,0.65,0.74,0.46,0.82
h_0,2.34,2.4,2.13,2.25,2.08,1.66,1.09,1.04,0.73,0.76,0.85,0.72,0.8,0.67,0.7,0.64
a_0,2.13,2.42,2.24,2.54,2.54,2.7,1.02,1.03,0.89,0.75,0.55,0.88,0.74,0.53,0.63,0.64
g_0,2.37,2.89,2.49,2.68,2.4,1.9,0.88,1.14,0.88,0.81,0.84,0.87,0.53,0.8,0.72,0.7
e_0,2.83,3.35,2.3,2.45,2.49,2.03,1.24,0.9,0.84,0.81,0.89,0.56,0.79,0.83,0.64,0.54
