,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,4.81,2.63,4.93,4.77,4.0,1.41,0.93,1.45,1.01,0.88,1.01,0.66,0.89,1.91,0.86
d_1,6.33,1.11,4.64,4.74,4.21,4.18,1.15,2.19,0.82,0.76,0.84,0.84,0.54,0.81,0.8,0.41
f_1,4.63,4.19,1.12,4.42,4.2,4.21,0.95,0.95,1.69,0.87,0.93,2.04,0.56,0.87,0.86,0.65
c_1,3.68,6.05,5.16,1.12,5.77,4.42,1.46,0.55,1.34,2.24,0.9,1.02,0.64,0.83,1.09,0.81
b_1,5.82,5.93,5.63,2.99,1.13,6.67,1.7,1.4,1.91,1.56,2.72,1.26,1.14,1.19,1.34,0.88
a_1,10.28,9.13,9.45,8.88,3.61,1.14,2.55,1.95,2.56,2.12,2.58,1.71,1.22,4.87,1.83,1.34
h_1,13.3,14.12,16.81,13.86,14.43,13.48,1.71,2.97,4.16,3.15,2.86,2.67,3.44,2.58,2.5,1.99
d_0,9.81,29.56,18.06,18.22,21.31,21.75,6.18,2.17,5.76,3.53,3.47,3.81,2.94,3.56,3.25,2.83
g_1,21.21,17.62,17.59,19.44,17.1,16.22,4.36,4.05,1.71,3.66,3.82,3.22,1.98,3.1,3.34,3.94
c_0,18.92,10.2,22.6,44.28,20.37,16.36,6.56,6.66,5.9,2.1,4.13,3.95,3.1,3.77,3.4,2.32
b_0,21.21,17.71,21.74,33.21,53.27,24.86,5.59,4.27,6.27,2.52,2.28,3.98,3.79,4.48,3.8,3.22
f_0,22.24,19.27,46.75,24.91,23.47,23.34,7.65,6.09,3.36,4.6,4.13,2.23,3.33,4.75,4.89,2.45
h_0,28.23,26.83,28.68,34.28,31.84,26.96,14.53,6.31,10.57,5.17,5.03,6.71,6.7,4.7,4.58,4.23
a_0,27.59,33.22,28.44,32.53,55.4,56.29,8.55,6.6,11.24,6.48,3.36,6.55,4.81,2.66,5.58,4.39
e_0,39.46,32.3,50.94,36.64,36.45,31.38,11.47,7.28,8.85,6.48,6.64,3.16,5.6,6.21,2.46,4.18
g_0,36.34,27.46,39.69,38.41,37.95,34.18,8.72,8.01,13.62,7.76,7.86,7.56,3.59,8.19,5.49,8.36
