,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,0.99,1.09,1.08,1.04,0.89,0.39,0.46,0.39,0.41,0.37,0.42,0.28,0.38,0.32,0.34
d_1,1.23,0.65,1.14,1.02,0.99,0.9,0.5,0.36,0.42,0.59,0.37,0.39,0.29,0.39,0.25,0.33
e_1,0.79,1.11,0.65,1.25,1.12,0.97,0.5,0.55,0.44,0.49,0.42,0.45,0.34,0.35,0.35,0.48
c_1,1.07,1.39,0.97,0.63,1.34,1.05,0.52,0.51,0.46,0.26,0.32,0.38,0.32,0.34,0.33,0.39
b_1,1.29,1.18,1.22,0.75,0.62,1.34,0.56,0.5,0.49,0.41,0.61,0.44,0.35,0.4,0.34,0.38
a_1,1.46,1.39,1.44,1.33,0.75,0.58,0.63,0.67,0.49,0.49,0.68,0.45,0.4,0.65,0.4,0.42
h_1,1.87,1.58,1.72,1.8,1.64,1.47,0.55,0.77,0.63,0.64,0.57,0.57,0.58,0.54,0.53,0.53
g_1,2.12,1.93,1.62,1.88,1.89,1.53,0.73,0.53,0.68,0.6,0.65,0.71,0.49,0.6,0.57,0.71
c_0,2.07,1.34,1.86,2.82,1.95,1.82,0.89,0.79,0.56,0.86,0.8,0.73,0.56,0.75,0.49,0.68
d_0,1.81,2.25,1.3,2.45,2.14,1.98,1.02,1.04,0.7,0.58,0.66,0.7,0.57,0.64,0.6,0.74
b_0,2.12,1.72,1.98,2.82,2.31,1.66,1.0,0.79,0.47,0.73,0.54,0.75,0.62,0.86,0.58,0.68
f_0,2.55,1.99,1.89,2.21,1.95,2.0,0.98,0.66,0.73,0.75,0.66,0.55,0.63,0.6,0.45,0.83
h_0,2.32,2.3,2.01,2.41,2.28,1.89,1.2,0.94,0.8,0.79,0.76,0.76,0.76,0.68,0.75,0.7
a_0,2.4,2.2,2.35,2.47,2.89,2.51,1.01,1.02,0.68,0.86,0.49,0.86,0.64,0.53,0.59,0.89
g_0,2.58,2.25,2.35,2.38,2.69,2.08,0.92,1.17,0.88,0.88,0.76,0.89,0.52,0.82,0.74,0.76
e_0,2.84,2.51,2.86,2.33,2.14,2.24,1.14,0.85,0.82,0.76,0.9,0.5,0.67,0.74,0.6,0.53
