,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.13,0.96,0.85,0.96,0.83,0.63,0.55,0.92,0.7,0.67,0.65,0.55,0.53,0.59,0.5
f_1,0.89,1.0,1.29,1.01,0.83,0.92,0.62,0.69,0.59,0.61,0.66,0.42,0.51,0.56,0.51,0.58
e_1,1.05,0.77,1.0,1.15,1.0,0.78,0.81,0.72,0.66,0.64,0.91,0.71,0.65,0.64,0.67,0.59
c_1,1.17,1.0,0.86,1.0,1.44,0.78,0.69,0.74,0.56,0.55,0.47,0.66,0.6,0.6,0.52,0.59
b_1,1.04,1.2,0.99,0.69,1.0,1.66,0.77,0.7,0.74,0.63,0.63,0.59,0.64,0.63,0.59,0.59
a_1,1.19,1.1,1.29,1.28,0.61,1.0,1.0,0.84,0.76,0.98,0.92,0.7,0.92,0.89,0.82,0.67
h_1,1.59,1.62,1.27,1.45,1.25,1.05,1.0,1.13,0.88,0.87,0.74,0.86,0.71,0.79,0.83,0.87
g_1,1.79,1.49,1.42,1.33,1.41,1.22,0.86,1.0,0.95,0.83,0.82,1.15,0.81,0.83,0.76,0.7
c_0,1.09,1.74,1.52,1.7,1.24,1.35,1.15,0.99,1.0,1.43,1.1,1.1,1.0,1.09,0.94,0.87
b_0,1.44,1.66,1.55,1.87,1.46,1.01,1.13,1.17,0.71,1.0,1.05,0.97,0.97,1.09,0.88,0.82
d_0,1.5,1.44,1.12,2.17,1.62,1.13,1.31,1.2,0.88,0.95,1.0,1.03,0.96,0.92,1.04,0.93
f_0,1.51,2.24,1.41,1.59,1.59,1.47,1.16,0.89,0.94,1.03,0.97,1.0,1.01,0.82,1.39,0.74
h_0,1.74,1.98,1.55,1.71,1.55,1.09,1.35,1.25,0.97,1.05,1.02,1.01,1.0,0.88,1.0,1.11
a_0,1.78,1.73,1.51,1.71,1.68,1.21,1.3,1.27,0.95,0.89,1.06,1.26,1.16,1.0,0.9,1.2
e_0,1.57,2.04,1.58,2.02,1.65,1.29,1.14,1.22,1.1,1.15,0.95,0.73,1.06,1.18,1.0,0.98
g_0,1.98,1.8,1.69,1.88,1.69,1.48,1.1,1.4,1.19,1.25,1.03,1.34,0.92,0.8,1.05,1.0
