,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.26,1.08,0.52,0.58,0.42,0.38,1.04,0.64,0.99,1.16,1.16,0.39,1.25,0.9,0.73,1.11
e_1,0.64,2.29,0.51,0.7,0.49,0.41,1.01,0.84,0.98,2.25,1.16,1.13,1.52,0.97,0.5,1.11
d_1,0.59,0.52,2.41,0.38,0.53,0.36,1.06,1.25,2.18,0.54,1.27,1.27,1.51,1.12,0.99,1.5
c_1,0.6,0.48,0.54,2.46,1.03,0.37,1.02,0.91,0.46,1.19,0.86,0.94,1.32,1.03,0.94,1.05
b_1,0.58,0.59,0.51,0.54,2.58,0.98,0.9,0.88,1.0,1.07,0.57,1.02,1.11,0.73,0.81,1.06
a_1,0.75,0.55,0.59,0.65,0.41,3.08,1.11,0.89,1.26,1.42,1.23,1.14,1.74,0.52,0.97,0.81
h_1,1.1,0.65,0.79,0.52,0.57,0.54,3.09,1.3,1.42,1.39,1.2,1.09,1.1,1.03,0.98,1.98
g_1,0.62,0.58,1.14,0.61,0.65,0.48,1.17,3.43,1.37,1.12,1.48,2.16,1.95,1.26,1.03,1.12
c_0,0.82,0.74,0.75,0.38,0.52,0.51,1.23,1.12,2.89,1.43,2.85,1.41,1.8,1.51,1.14,1.79
d_0,0.79,0.65,0.34,1.35,0.58,0.52,1.17,1.15,0.88,2.56,1.35,1.2,2.09,1.35,1.34,1.54
b_0,0.89,0.58,0.78,0.75,0.41,0.42,1.4,1.02,1.74,1.37,2.93,1.41,1.91,2.79,1.38,1.74
f_0,0.57,0.55,0.75,0.61,0.69,0.64,1.53,1.17,1.74,1.49,1.65,3.21,2.21,1.38,2.59,1.76
h_0,1.04,0.65,0.74,0.79,0.57,0.36,0.8,1.6,1.39,1.3,1.37,1.35,1.01,1.29,1.41,1.99
a_0,0.75,0.71,0.67,0.76,0.68,0.3,1.54,1.11,1.46,1.55,1.43,1.49,2.12,3.08,1.29,1.83
e_0,1.03,0.47,0.64,0.76,0.47,0.55,1.55,1.28,1.7,1.49,1.6,1.37,1.98,1.33,3.29,1.44
g_0,0.51,0.69,1.15,0.63,0.63,0.57,1.16,0.95,1.55,1.08,1.3,2.23,1.48,1.05,1.15,1.16
