,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,11.03,0.55,1.91,0.72,0.59,0.55,0.91,0.78,0.9,0.8,0.6,0.76,0.9,0.93,1.05,0.54
d_1,0.81,13.45,0.69,0.5,0.65,0.59,0.85,1.06,0.63,2.42,1.0,1.39,1.2,0.97,1.13,1.02
e_1,0.74,0.56,10.9,0.87,0.62,0.75,0.96,0.92,2.56,0.88,0.97,1.01,1.04,0.93,1.05,0.78
c_1,0.62,0.68,0.55,12.1,2.02,0.67,0.93,0.81,0.76,0.52,0.89,0.65,0.94,0.95,0.79,0.95
b_1,0.71,0.66,0.63,0.74,11.68,1.75,1.0,0.89,0.78,0.83,0.96,0.65,0.82,1.03,0.63,1.08
a_1,0.76,0.85,0.59,0.89,0.57,18.34,0.97,1.1,0.92,0.86,1.22,1.15,1.12,0.97,0.63,1.19
h_1,1.21,0.89,0.67,0.81,0.68,0.69,3.1,1.3,0.99,0.9,0.94,1.13,0.67,1.51,0.97,1.15
g_1,0.61,1.8,0.59,0.74,0.78,0.82,0.86,3.61,0.69,1.25,1.83,1.19,1.04,0.73,0.87,1.36
d_0,0.73,0.63,0.66,2.34,0.91,0.62,1.03,0.94,1.93,0.62,0.85,0.88,0.82,1.1,1.23,0.88
c_0,0.83,0.96,0.69,0.61,0.59,0.92,1.25,1.23,1.2,2.28,1.44,2.97,1.23,1.08,1.62,1.4
f_0,0.57,1.31,0.57,0.77,0.76,0.87,1.16,1.5,0.96,1.37,2.61,1.27,1.39,1.07,1.22,3.25
b_0,1.06,1.18,0.64,0.86,0.54,0.62,1.09,1.01,1.02,0.97,1.27,2.28,1.44,1.19,3.01,1.16
h_0,1.31,0.96,0.77,0.69,0.71,0.75,0.7,1.27,0.87,0.97,1.18,1.12,0.73,1.48,1.05,1.04
g_0,0.55,1.7,0.72,0.73,0.67,0.79,1.12,0.93,0.89,1.09,1.88,1.26,0.88,0.77,1.26,1.19
a_0,0.85,1.13,0.71,0.78,0.61,0.55,1.47,1.14,1.16,0.97,1.45,1.2,1.37,1.29,3.02,1.18
e_0,0.87,1.2,0.32,0.92,0.78,0.84,1.4,1.22,0.86,1.11,1.24,1.3,1.38,1.42,1.21,3.1
