,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.95,0.39,0.58,0.39,0.41,0.24,0.3,0.49,0.23,0.3,0.27,0.29,0.28,0.22,0.17,0.21
f_1,0.78,0.95,0.43,0.4,0.33,0.3,0.23,0.28,0.22,0.25,0.26,0.16,0.23,0.17,0.13,0.2
c_1,0.42,0.5,0.94,0.44,0.63,0.29,0.32,0.24,0.27,0.16,0.2,0.26,0.25,0.19,0.18,0.18
d_1,0.49,0.53,0.43,0.95,0.4,0.26,0.3,0.19,0.27,0.47,0.33,0.26,0.27,0.25,0.2,0.21
b_1,0.43,0.49,0.45,0.46,0.94,0.57,0.28,0.29,0.28,0.34,0.22,0.27,0.29,0.16,0.2,0.26
a_1,0.69,0.6,0.46,0.57,0.38,0.94,0.42,0.36,0.33,0.32,0.33,0.25,0.33,0.15,0.24,0.25
h_1,0.77,1.03,0.7,0.65,0.66,0.42,0.77,0.45,0.57,0.38,0.41,0.42,0.34,0.34,0.29,0.37
d_0,0.64,0.74,1.33,0.57,0.64,0.45,0.5,0.67,0.48,0.36,0.47,0.42,0.42,0.3,0.35,0.41
g_1,0.76,0.72,0.72,1.05,0.63,0.44,0.39,0.38,0.76,0.53,0.42,0.57,0.45,0.26,0.37,0.29
c_0,0.77,0.89,0.65,0.74,0.52,0.52,0.56,0.57,0.41,0.69,0.78,0.5,0.5,0.4,0.36,0.4
b_0,0.87,0.89,0.93,0.79,0.45,0.43,0.5,0.52,0.55,0.43,0.67,0.48,0.47,0.59,0.35,0.38
f_0,0.69,0.65,0.91,0.9,0.73,0.51,0.51,0.52,0.47,0.5,0.49,0.67,0.5,0.42,0.57,0.37
h_0,0.87,1.15,0.83,0.94,0.63,0.55,0.39,0.56,0.58,0.51,0.5,0.44,0.39,0.35,0.35,0.54
a_0,0.92,1.12,0.92,0.81,0.67,0.5,0.52,0.62,0.51,0.6,0.48,0.45,0.57,0.64,0.4,0.42
e_0,0.7,1.06,0.97,0.91,0.84,0.63,0.58,0.54,0.54,0.48,0.55,0.41,0.58,0.35,0.63,0.44
g_0,0.89,0.89,0.88,1.3,0.7,0.6,0.59,0.5,0.44,0.62,0.52,0.73,0.48,0.38,0.39,0.35
