,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.3,0.94,1.14,1.04,0.87,0.79,1.03,0.88,1.31,1.07,,0.81,1.2,0.94,0.85
e_1,0.77,1.0,0.89,0.87,0.99,1.04,1.1,1.42,0.83,0.8,1.2,1.05,1.16,0.85,,1.31
d_1,1.07,1.12,1.0,0.82,1.22,0.75,1.09,,1.44,0.66,0.88,0.98,1.06,1.04,0.97,0.94
c_1,0.88,1.15,1.22,1.0,1.16,0.97,0.75,0.71,,1.04,0.98,1.13,1.14,1.18,1.2,1.02
b_1,0.96,1.01,0.82,0.86,1.0,1.37,1.13,1.18,1.04,0.88,,0.96,1.0,0.8,0.78,1.28
a_1,1.15,0.96,1.34,1.03,0.73,1.0,1.0,1.05,0.93,1.21,,1.21,0.96,,1.15,0.83
h_1,1.26,0.91,0.92,1.33,0.89,1.0,1.0,0.85,1.08,1.18,0.85,0.87,,0.85,0.77,1.19
d_0,0.97,0.7,,1.41,0.85,0.95,1.17,1.0,1.19,1.02,0.82,1.02,1.13,0.95,0.98,0.97
c_0,1.14,1.2,0.69,,0.96,1.07,0.92,0.84,1.0,1.02,1.26,1.03,1.07,0.96,0.84,0.98
g_1,0.76,1.26,1.51,0.96,1.14,0.83,0.85,0.98,0.98,1.0,1.16,1.15,0.79,0.84,0.8,
b_0,0.93,0.84,1.13,1.02,,,1.18,1.22,0.79,0.86,1.0,1.03,1.02,1.39,0.95,0.85
f_0,,0.96,1.02,0.88,1.04,0.83,1.15,0.98,0.97,0.87,0.97,1.0,1.02,,1.65,0.82
h_0,1.23,0.86,0.94,0.88,1.0,1.04,,0.89,0.94,1.26,0.98,0.98,,0.71,1.17,1.12
a_0,0.84,1.17,0.96,0.85,1.24,,1.18,1.05,1.04,1.19,0.72,,1.41,1.0,,
e_0,1.06,,1.04,0.84,1.28,0.87,1.3,1.02,1.19,1.24,1.05,0.61,0.85,,1.0,0.91
g_0,1.18,0.77,1.06,0.98,0.78,1.21,0.84,1.03,1.02,,1.18,1.22,0.89,,1.1,
