,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,1.06,0.87,0.93,0.77,0.45,0.58,0.45,0.45,0.43,0.39,0.38,0.28,0.27,0.32
f_1,1.33,1.0,0.91,1.0,0.75,0.68,0.4,0.44,0.4,0.43,0.39,0.34,0.29,0.34,0.32,0.32
c_1,0.94,1.1,1.0,1.16,1.25,0.67,0.49,0.31,0.28,0.45,0.32,0.37,0.37,0.36,0.33,0.32
d_1,1.15,1.0,0.86,1.0,0.94,0.65,0.51,0.61,0.56,0.38,0.47,0.47,0.34,0.39,0.34,0.24
b_1,1.08,1.33,0.8,1.07,1.0,1.48,0.58,0.5,0.52,0.52,0.36,0.38,0.37,0.32,0.39,0.39
a_1,1.3,1.47,1.49,1.54,0.68,1.0,0.63,0.66,0.6,0.58,0.63,0.51,0.56,0.39,0.39,0.45
h_1,2.17,2.49,2.0,1.98,1.69,1.56,1.0,0.87,0.88,0.9,0.79,0.69,0.55,0.61,0.68,0.7
d_0,1.61,2.27,3.45,1.63,1.88,1.65,1.17,1.0,0.76,0.91,1.03,0.88,0.78,0.76,0.67,0.74
c_0,2.32,2.7,3.15,1.81,1.91,1.57,1.08,1.25,1.0,1.09,1.47,0.89,0.82,0.74,0.72,0.89
g_1,2.18,2.41,2.34,2.59,1.96,1.66,1.1,1.05,0.9,1.0,0.97,1.21,0.63,0.76,0.74,0.78
b_0,2.37,2.71,3.05,2.04,2.8,1.59,1.28,1.04,0.69,1.05,1.0,0.88,0.81,1.01,0.67,0.87
f_0,2.32,2.86,2.93,2.16,2.72,2.18,1.45,1.13,1.06,0.86,1.05,1.0,0.96,0.87,1.01,0.74
h_0,2.51,3.76,2.86,2.93,2.56,1.81,1.85,1.27,1.18,1.62,1.14,1.07,1.0,0.87,0.95,0.93
a_0,3.46,2.97,2.81,2.61,2.83,,1.61,1.39,1.41,1.27,0.93,1.24,1.22,1.0,0.84,1.05
e_0,3.84,3.34,3.05,2.86,2.46,2.44,1.46,1.57,1.4,1.44,1.45,0.95,1.12,1.29,1.0,0.93
g_0,3.02,3.21,3.15,3.97,2.65,2.19,1.38,1.29,1.05,1.24,1.14,1.34,1.05,0.99,1.05,1.0
