,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.35,0.89,1.02,0.8,0.73,0.39,0.49,0.44,0.43,0.38,0.32,0.31,0.28,0.24,0.34
e_1,0.74,1.0,0.81,1.02,1.1,0.8,0.52,0.45,0.44,0.61,0.39,0.38,0.42,0.36,0.41,0.32
d_1,1.12,1.24,1.0,0.92,0.84,0.73,0.48,0.35,0.55,0.35,0.44,0.4,0.31,0.34,0.32,0.24
c_1,0.98,0.98,1.09,1.0,1.3,0.75,0.47,0.35,0.35,0.33,0.36,0.35,0.33,0.38,0.3,0.35
b_1,1.26,0.91,1.19,0.77,1.0,1.09,0.51,0.5,0.46,0.44,0.4,0.42,0.38,0.44,0.44,0.37
a_1,1.36,1.25,1.36,1.33,0.91,1.0,0.79,0.7,0.52,0.61,0.56,0.47,0.41,0.48,0.48,0.46
h_1,2.58,1.87,2.12,2.24,1.92,1.29,1.0,1.23,0.93,0.72,0.92,0.67,0.69,0.67,0.53,0.71
g_1,2.22,2.14,2.76,2.82,1.88,1.47,0.81,1.0,0.75,0.93,0.91,0.97,0.72,0.62,0.76,0.59
c_0,2.5,2.28,1.74,2.76,2.06,1.84,1.04,1.38,1.0,1.02,1.33,0.83,0.85,0.78,0.78,0.72
d_0,2.43,1.58,2.79,2.99,2.28,1.7,1.45,1.07,0.9,1.0,0.98,0.84,0.86,0.76,0.58,0.86
b_0,2.57,2.25,2.25,3.0,2.51,1.6,1.18,1.07,0.81,1.09,1.0,1.05,1.15,0.88,0.65,0.73
f_0,2.79,2.64,2.49,2.95,2.32,2.07,1.5,1.11,1.18,1.27,0.94,1.0,0.88,1.03,1.25,0.69
a_0,3.11,2.29,3.47,3.08,2.78,2.23,1.48,1.32,1.15,1.08,0.85,1.13,1.0,1.16,1.05,0.88
h_0,3.72,2.65,2.98,2.8,2.37,2.09,1.5,1.61,1.27,1.33,1.17,0.98,0.83,1.0,1.06,1.04
e_0,4.27,,3.17,3.46,2.32,2.18,1.9,1.36,1.31,1.73,1.56,0.74,0.89,0.87,1.0,0.93
g_0,3.14,2.99,4.18,2.94,2.59,2.17,1.39,1.81,1.44,1.18,1.25,1.54,1.13,0.94,0.96,1.0
