,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,109.17,110.09,90.62,107.03,117.2,392.16,10509.75,20053.84,25093.89,34317.96,43615.97,35419.0,118617.62,116812.46,132756.72,200711.4
e_1,67.94,115.8,83.37,123.04,133.28,476.3,11682.78,21356.67,25662.85,52996.12,43027.21,45675.99,131013.53,132266.1,148735.26,227336.98
d_1,70.18,73.64,137.66,81.25,108.16,408.47,11021.19,30246.94,21026.35,30018.9,50445.58,48841.28,125150.8,120899.31,174380.69,192546.02
c_1,60.29,63.53,91.72,147.9,169.37,386.23,9709.32,13148.43,21190.94,24376.69,30306.8,41369.02,110551.47,106299.66,137658.3,190537.8
b_1,62.58,57.37,93.55,78.06,170.84,625.87,10449.61,17779.63,20787.4,26493.43,32602.28,35043.61,111226.6,83859.22,142465.51,200329.54
a_1,43.3,39.83,56.28,66.71,58.17,490.95,7469.03,12755.55,14988.99,19439.37,28478.76,25883.39,73262.12,65513.56,88788.93,133626.59
h_1,20.57,18.75,24.55,23.71,28.68,95.03,3610.46,5119.57,7325.53,8890.0,11707.17,11527.36,26873.12,28132.31,39149.13,65373.32
c_0,15.84,16.18,18.68,22.64,21.88,79.66,2297.85,5573.42,4608.42,7194.37,14247.25,9367.68,26614.35,31445.51,35334.65,42142.26
g_1,12.93,13.21,23.92,19.87,22.72,80.55,1991.53,4495.6,6636.57,6256.38,7945.36,11586.62,23565.9,24951.38,34144.81,37889.1
d_0,13.34,11.93,12.72,28.0,22.77,77.79,1743.97,3071.63,4213.17,7237.45,7424.37,7537.27,22064.94,24618.74,25377.88,36712.51
b_0,12.61,12.4,15.51,19.26,19.42,50.46,1588.36,3313.74,4472.03,6299.19,9127.6,7178.36,22450.17,34338.76,29854.57,39171.9
f_0,10.68,11.14,15.76,18.16,23.46,75.16,1836.37,3514.6,3809.31,5379.11,7975.7,9243.11,22471.9,23033.09,43108.44,30145.48
h_0,10.41,8.88,12.14,13.4,14.68,51.05,1187.42,2691.87,3493.18,4167.62,5558.98,5137.86,13922.75,14933.86,19385.16,32969.33
a_0,9.16,8.4,11.01,13.01,17.22,40.73,1523.42,2383.07,2974.34,4069.62,4784.03,5329.51,15268.43,20088.82,18091.89,26582.64
e_0,8.2,7.13,9.66,11.84,14.67,47.56,1273.32,2122.32,2627.96,3899.36,4709.67,4103.68,13949.6,14266.96,25119.9,26072.68
g_0,6.76,6.85,12.73,11.09,12.68,40.79,1095.63,2313.69,2401.43,3340.45,4241.39,6255.74,10965.73,12099.74,17664.44,21120.78
