,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.91,0.31,0.41,0.25,0.25,0.15,0.26,0.52,0.21,0.28,0.26,0.26,0.33,0.2,0.14,0.21
f_1,0.58,0.91,0.31,0.29,0.2,0.17,0.24,0.29,0.18,0.25,0.25,0.13,0.25,0.16,0.1,0.19
c_1,0.32,0.32,0.9,0.27,0.47,0.19,0.27,0.24,0.2,0.14,0.17,0.23,0.26,0.16,0.17,0.2
d_1,0.33,0.34,0.24,0.91,0.24,0.17,0.24,0.17,0.28,0.53,0.32,0.26,0.32,0.23,0.17,0.24
b_1,0.27,0.31,0.32,0.28,0.9,0.38,0.26,0.26,0.23,0.27,0.18,0.24,0.27,0.12,0.17,0.23
a_1,0.41,0.38,0.26,0.32,0.27,0.88,0.31,0.29,0.23,0.29,0.27,0.22,0.31,0.1,0.17,0.24
h_1,0.37,0.53,0.35,0.3,0.28,0.19,0.62,0.31,0.34,0.25,0.25,0.27,0.22,0.19,0.18,0.28
d_0,0.33,0.34,0.66,0.21,0.31,0.17,0.3,0.5,0.25,0.21,0.27,0.27,0.28,0.18,0.2,0.24
g_1,0.34,0.31,0.35,0.52,0.27,0.18,0.24,0.24,0.61,0.33,0.27,0.39,0.33,0.15,0.23,0.18
c_0,0.38,0.39,0.27,0.38,0.19,0.21,0.31,0.32,0.27,0.54,0.54,0.32,0.37,0.26,0.23,0.26
b_0,0.4,0.41,0.4,0.33,0.17,0.15,0.28,0.34,0.29,0.32,0.52,0.3,0.35,0.43,0.22,0.23
f_0,0.3,0.29,0.4,0.41,0.3,0.17,0.32,0.31,0.32,0.29,0.3,0.51,0.36,0.25,0.4,0.28
h_0,0.37,0.48,0.33,0.41,0.22,0.19,0.17,0.31,0.31,0.31,0.27,0.25,0.23,0.19,0.17,0.34
a_0,0.39,0.45,0.4,0.34,0.24,0.13,0.25,0.34,0.24,0.35,0.34,0.27,0.38,0.44,0.2,0.25
e_0,0.27,0.41,0.4,0.36,0.3,0.21,0.34,0.3,0.26,0.3,0.29,0.28,0.35,0.2,0.42,0.27
g_0,0.34,0.32,0.31,0.55,0.27,0.21,0.29,0.28,0.22,0.34,0.28,0.43,0.33,0.18,0.25,0.18
