,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.23,1.04,0.53,0.56,0.5,0.3,0.93,1.15,1.12,0.9,1.11,0.38,1.43,0.89,0.68,1.05
e_1,0.75,2.3,0.46,0.59,0.53,0.46,1.05,2.11,1.02,0.8,1.4,1.02,1.66,0.92,0.61,1.23
d_1,0.63,0.61,2.47,0.45,0.54,0.38,0.96,0.62,2.4,0.93,1.26,1.37,1.59,1.24,0.99,1.48
c_1,0.56,0.53,0.56,2.46,1.02,0.46,0.93,1.04,0.43,0.75,0.82,0.96,1.31,0.98,0.97,1.19
b_1,0.54,0.6,0.46,0.59,2.53,0.88,1.2,1.21,0.99,0.85,0.59,1.24,1.51,0.58,0.88,1.4
a_1,0.62,0.57,0.72,0.6,0.42,3.07,1.06,1.17,1.04,1.12,0.94,1.09,1.43,0.47,1.12,1.2
h_1,1.08,0.54,0.78,0.68,0.53,0.46,3.08,1.36,1.3,1.47,1.39,1.14,0.88,1.33,1.18,1.97
d_0,0.78,0.56,0.38,1.4,0.63,0.53,1.46,2.59,1.09,1.18,1.27,1.3,1.92,1.19,1.12,1.4
c_0,0.87,0.79,0.71,0.57,0.42,0.51,1.31,1.21,2.8,1.16,2.91,1.25,1.84,1.79,1.25,1.68
g_1,0.61,0.65,1.19,0.74,0.57,0.39,1.14,1.38,1.21,3.43,1.48,2.13,1.82,0.93,1.22,1.05
b_0,0.88,0.62,0.84,0.81,0.32,0.46,1.31,1.77,1.47,1.06,2.99,1.16,1.93,2.65,1.19,1.44
f_0,0.53,0.45,0.85,0.82,0.68,0.49,1.59,1.28,1.73,1.2,1.56,3.18,1.89,1.34,2.65,1.97
h_0,1.11,0.69,0.73,0.62,0.58,0.61,0.6,1.24,1.2,1.52,1.37,1.21,1.08,0.83,1.05,1.96
a_0,0.93,0.66,0.79,0.74,0.58,0.22,1.55,1.5,1.61,1.22,1.62,1.29,1.96,3.19,1.05,1.72
e_0,0.78,0.39,0.81,0.81,0.66,0.6,1.7,1.29,1.57,1.12,1.68,1.05,1.9,1.2,3.14,2.06
g_0,0.73,0.53,1.21,0.62,0.47,0.6,1.28,1.01,1.42,0.8,1.84,1.99,1.8,1.14,1.34,1.15
