,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.92,0.48,0.34,0.47,0.28,0.23,0.38,0.62,0.29,0.3,0.33,0.29,0.25,0.37,0.33,0.18
f_1,0.68,0.92,0.36,0.37,0.26,0.22,0.36,0.4,0.27,0.34,0.3,0.2,0.23,0.34,0.28,0.16
d_1,0.45,0.48,0.92,0.3,0.27,0.22,0.42,0.28,0.26,0.59,0.38,0.33,0.28,0.39,0.35,0.24
c_1,0.4,0.41,0.4,0.91,0.52,0.25,0.38,0.34,0.27,0.22,0.24,0.29,0.22,0.32,0.26,0.24
b_1,0.41,0.41,0.41,0.36,0.9,0.45,0.41,0.32,0.3,0.33,0.23,0.33,0.2,0.36,0.31,0.24
a_1,0.47,0.46,0.41,0.39,0.26,0.89,0.45,0.35,0.31,0.36,0.34,0.34,0.17,0.35,0.37,0.21
h_1,0.48,0.61,0.47,0.35,0.31,0.22,0.66,0.34,0.34,0.35,0.3,0.31,0.24,0.3,0.41,0.26
d_0,0.42,0.49,0.33,0.7,0.34,0.23,0.4,0.55,0.28,0.25,0.33,0.3,0.26,0.34,0.31,0.25
g_1,0.43,0.39,0.61,0.41,0.3,0.21,0.41,0.34,0.63,0.37,0.37,0.51,0.29,0.35,0.29,0.31
c_0,0.53,0.52,0.43,0.4,0.27,0.2,0.41,0.44,0.29,0.53,0.59,0.37,0.35,0.4,0.41,0.25
b_0,0.48,0.54,0.45,0.46,0.26,0.16,0.41,0.45,0.31,0.32,0.52,0.37,0.51,0.37,0.34,0.26
f_0,0.42,0.44,0.49,0.44,0.34,0.24,0.38,0.4,0.3,0.34,0.37,0.55,0.3,0.42,0.39,0.5
a_0,0.46,0.5,0.51,0.5,0.33,0.16,0.44,0.42,0.33,0.34,0.33,0.36,0.51,0.38,0.35,0.32
h_0,0.49,0.59,0.45,0.42,0.27,0.28,0.37,0.43,0.41,0.32,0.33,0.31,0.28,0.27,0.43,0.24
g_0,0.41,0.45,0.61,0.41,0.31,0.21,0.43,0.35,0.23,0.34,0.37,0.46,0.32,0.36,0.28,0.28
e_0,0.37,0.56,0.44,0.41,0.35,0.27,0.41,0.39,0.33,0.38,0.34,0.32,0.29,0.41,0.33,0.45
