,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.42,0.74,1.26,1.46,1.43,1.51,0.78,0.65,0.87,0.67,0.56,0.69,0.45,0.7,0.57,1.4
f_1,1.58,0.4,1.21,1.34,1.38,1.18,0.5,0.57,0.63,0.46,0.55,1.19,0.4,0.49,0.54,0.42
d_1,1.57,1.3,0.4,1.22,1.16,1.25,0.7,1.65,0.46,0.68,0.73,0.52,0.52,0.56,0.34,0.48
c_1,1.19,1.34,1.56,0.4,1.46,1.25,0.77,0.35,0.73,0.87,0.48,0.49,0.44,0.64,0.48,0.51
b_1,1.16,1.41,1.34,0.86,0.38,1.35,0.78,0.61,0.74,0.66,1.28,0.64,0.49,0.69,0.52,0.88
a_1,1.2,1.81,1.27,1.25,0.81,0.31,0.66,0.62,1.11,0.54,0.76,0.67,0.63,1.52,0.49,0.58
h_1,0.86,1.28,0.89,0.95,0.88,1.02,0.25,0.52,0.59,0.39,0.37,0.39,0.59,0.4,0.51,0.49
d_0,0.65,0.99,1.39,1.11,1.0,0.91,0.48,0.28,0.48,0.39,0.45,0.46,0.42,0.39,0.37,0.47
g_1,0.81,1.19,1.15,0.9,0.98,0.83,0.4,0.51,0.22,0.43,0.44,0.42,0.3,0.34,0.62,0.54
c_0,0.87,1.12,0.61,2.1,0.95,0.89,0.61,0.52,0.55,0.27,0.57,0.43,0.43,0.46,0.42,0.41
b_0,0.95,1.03,0.77,1.2,1.69,0.76,0.63,0.38,0.5,0.25,0.24,0.44,0.35,0.5,0.33,0.36
f_0,0.94,1.98,0.89,1.1,0.86,0.78,0.55,0.48,0.35,0.44,0.4,0.24,0.42,0.33,0.27,0.5
h_0,0.92,1.05,0.91,0.96,1.06,0.94,0.72,0.4,0.59,0.38,0.37,0.39,0.65,0.35,0.37,0.43
a_0,0.75,1.05,0.97,1.11,1.19,,0.48,0.52,0.54,0.42,0.23,0.38,0.39,0.21,0.44,0.4
g_0,0.92,0.98,1.03,0.9,0.98,1.1,0.33,0.5,0.7,0.42,0.46,0.39,0.35,0.36,0.49,0.46
e_0,1.29,1.79,0.99,0.84,0.76,0.82,0.47,0.37,0.46,0.43,0.5,0.23,0.29,0.37,0.34,0.2
