,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.5,0.63,0.7,0.76,0.67,0.52,0.86,0.82,0.93,1.22,0.75,0.79,0.69,0.9,0.45,0.77
f_1,1.12,1.52,0.61,0.72,0.54,0.55,0.67,0.65,0.68,0.73,0.45,0.7,0.66,0.72,0.5,0.75
d_1,0.65,0.74,1.53,0.54,0.66,0.59,0.84,0.72,1.29,0.59,0.78,0.84,0.68,0.69,0.82,0.69
c_1,0.68,0.64,0.74,1.58,1.04,0.55,0.84,0.69,0.32,0.68,0.79,0.59,0.7,0.78,0.65,0.76
b_1,0.69,0.84,0.67,0.6,1.61,0.94,0.88,0.79,0.78,0.77,0.84,0.54,0.54,0.98,0.59,0.81
a_1,0.89,0.78,0.75,0.64,0.53,1.75,0.89,0.84,0.88,0.98,0.89,0.87,0.6,1.07,0.89,0.92
h_1,0.81,1.29,0.88,0.86,0.75,0.68,1.71,1.29,1.0,0.97,0.9,1.11,0.95,0.93,0.93,1.32
g_1,0.88,0.91,1.28,0.99,0.84,0.61,0.81,1.77,1.0,0.88,1.36,0.98,0.87,1.14,0.71,0.93
c_0,0.81,1.12,1.03,0.9,0.69,0.77,1.13,1.03,1.59,1.1,1.09,2.05,1.15,1.33,1.15,1.32
d_0,0.84,1.07,0.69,1.5,0.88,0.54,1.12,1.18,0.98,1.59,0.99,1.09,1.1,1.41,1.02,1.04
f_0,0.84,0.79,1.13,1.07,0.79,0.73,1.18,0.97,1.2,1.28,1.71,1.1,1.03,1.24,1.86,1.08
b_0,0.85,1.12,1.03,1.18,0.56,0.66,1.1,1.14,0.92,1.15,1.27,1.69,1.69,1.3,0.99,1.27
a_0,0.94,1.25,1.12,0.98,0.9,0.44,1.26,1.11,1.06,1.14,1.12,0.93,1.78,1.32,0.9,1.23
h_0,0.97,1.47,1.22,0.86,0.78,0.75,0.84,1.38,1.08,0.99,1.03,1.01,0.92,0.97,0.82,1.36
e_0,0.75,1.28,1.03,1.04,1.13,0.71,1.13,1.19,1.22,1.2,1.0,1.34,1.25,1.4,1.79,1.07
g_0,1.0,0.92,1.55,1.02,0.88,0.67,1.03,0.82,1.07,1.07,1.6,1.21,1.07,1.22,1.1,1.0
