,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.43,1.79,1.72,1.46,1.51,1.64,3.19,2.86,5.03,3.25,4.55,3.68,4.14,4.87,3.98,4.33
f_1,1.59,2.46,2.36,1.59,1.65,1.42,3.05,3.27,3.52,4.14,3.61,3.13,3.85,4.11,2.73,4.43
e_1,1.54,1.57,2.58,2.12,1.74,1.63,3.24,3.07,3.38,5.35,3.84,3.47,3.85,4.48,3.36,4.52
c_1,1.77,1.64,1.42,2.64,2.45,1.94,3.12,3.34,2.51,3.08,2.47,3.62,3.4,4.33,3.62,4.53
b_1,1.66,1.62,1.59,1.55,2.84,2.67,3.19,3.4,3.54,3.59,2.87,3.64,3.13,4.64,3.49,4.56
a_1,1.63,1.73,1.65,1.73,1.63,3.31,3.82,3.59,3.42,3.74,3.81,4.13,3.2,4.95,4.59,5.3
h_1,1.84,2.06,1.67,1.7,1.48,1.43,4.35,3.84,3.74,3.62,4.03,3.95,3.72,4.28,4.37,5.53
g_1,2.17,1.65,1.66,1.62,1.62,1.54,3.19,4.73,3.63,3.53,4.05,5.27,4.26,4.85,4.76,4.41
c_0,1.66,1.77,1.9,1.74,1.61,1.64,3.33,3.54,4.6,4.27,5.82,4.13,4.72,4.56,4.44,4.57
d_0,1.5,1.59,1.52,2.76,1.8,1.74,3.12,3.21,2.58,4.48,3.32,3.6,3.91,4.6,3.71,4.58
b_0,1.69,1.91,1.59,2.13,1.76,1.48,3.3,3.37,3.17,3.97,4.76,3.69,5.97,5.22,3.98,4.63
f_0,1.87,1.65,1.42,1.91,1.97,1.74,3.46,3.24,3.81,3.61,3.98,5.05,4.03,4.47,7.09,4.94
a_0,1.77,1.81,1.68,1.96,1.72,1.63,3.52,3.37,3.4,3.5,3.61,3.86,5.11,5.24,3.91,5.09
h_0,1.8,2.08,1.73,1.76,1.54,1.66,2.87,3.74,3.67,3.78,3.56,3.86,3.86,4.09,3.39,5.11
e_0,1.83,1.84,1.47,1.86,2.06,1.81,3.31,3.34,3.73,3.65,3.76,3.34,3.99,5.46,5.68,4.92
g_0,2.34,1.71,1.62,1.79,1.55,1.47,3.08,2.9,4.14,3.46,3.92,4.51,3.48,4.47,4.13,4.32
