,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,11.87,0.61,0.76,0.52,0.59,0.65,0.97,0.92,2.75,0.6,1.65,0.96,0.95,1.2,1.12,1.14
e_1,0.49,10.66,0.72,0.99,0.74,0.73,0.88,0.86,0.82,2.39,0.87,1.2,1.09,1.05,0.75,0.97
f_1,0.57,2.16,11.11,0.72,0.63,0.54,0.68,0.85,0.84,0.98,1.0,0.57,1.0,0.97,0.6,0.66
c_1,0.68,0.54,0.59,12.54,1.9,0.8,0.96,0.91,0.48,0.8,0.59,1.07,0.86,0.72,0.8,0.92
b_1,0.86,0.5,0.82,0.68,13.19,1.58,1.1,0.9,0.81,0.73,0.58,0.84,0.86,0.53,1.08,0.99
a_1,0.85,0.72,0.83,0.75,0.56,18.04,1.12,0.95,0.79,1.07,0.82,1.03,1.19,0.54,1.29,1.06
h_1,0.89,0.64,1.06,0.87,0.79,0.76,2.94,1.33,0.89,0.82,1.04,0.91,0.77,1.0,1.11,1.56
g_1,1.92,0.5,0.46,0.79,0.83,0.75,1.18,3.91,1.03,0.75,1.05,1.86,1.07,1.3,1.5,0.89
c_0,0.94,0.78,0.78,0.6,0.57,0.79,1.03,1.15,2.02,1.13,3.08,1.12,1.27,1.84,1.16,1.24
d_0,0.48,0.78,0.87,2.34,0.82,0.68,1.08,1.05,0.54,1.92,0.77,1.17,1.04,0.94,1.09,1.05
b_0,1.18,0.81,0.75,0.75,0.42,0.61,1.2,1.21,1.17,0.99,2.4,0.95,1.18,3.89,1.09,1.32
f_0,0.99,0.47,0.68,0.78,0.75,1.1,1.48,1.29,1.13,0.86,1.25,2.48,1.34,1.26,3.87,1.24
h_0,0.98,0.78,1.31,0.79,0.72,0.6,0.69,1.44,1.05,0.81,0.89,0.92,0.75,1.25,0.79,1.4
a_0,1.06,0.79,0.8,0.91,0.66,0.59,1.17,1.21,1.16,0.99,1.18,1.12,1.17,2.54,0.92,1.1
e_0,1.04,0.58,0.89,0.79,0.79,0.81,1.26,1.08,1.31,0.91,1.35,1.09,1.44,1.22,2.88,1.29
g_0,1.73,0.6,0.76,0.7,0.56,0.81,1.0,0.97,1.21,0.74,1.08,1.76,0.97,1.29,1.09,0.98
