,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.42,2.32,1.45,1.74,1.63,1.45,3.05,3.34,3.34,3.88,3.64,2.87,3.75,4.37,3.0,4.55
e_1,1.57,2.49,1.63,1.99,1.69,1.67,3.43,3.56,3.56,5.64,3.79,3.93,3.99,4.67,3.31,4.45
d_1,1.87,1.68,2.51,1.59,1.57,1.62,3.2,2.88,5.27,2.85,4.28,3.6,3.77,4.45,3.81,4.11
c_1,1.65,1.47,1.67,2.65,2.59,1.79,3.25,3.16,2.8,2.9,2.99,3.95,3.6,4.58,3.72,4.57
b_1,1.75,1.6,1.78,1.45,2.78,2.78,3.2,3.21,3.72,3.22,3.04,3.76,3.18,4.38,3.78,4.33
a_1,1.85,1.6,1.82,1.75,1.48,3.39,3.43,3.17,3.56,3.53,3.76,3.6,3.48,4.78,4.37,5.02
h_1,2.02,1.69,1.82,1.76,1.69,1.69,4.26,3.71,3.24,3.52,3.53,4.05,4.27,4.74,3.84,5.75
g_1,1.59,1.59,2.25,1.77,1.62,1.72,3.22,4.72,4.02,3.45,3.65,4.81,3.88,4.67,4.5,5.04
c_0,1.87,1.81,1.62,1.67,1.55,1.69,3.56,3.3,4.47,4.4,5.98,3.87,4.91,4.96,4.32,5.23
d_0,1.61,1.37,1.61,2.75,1.93,1.79,3.36,3.51,2.76,4.55,3.29,3.88,3.89,4.96,4.14,4.64
b_0,1.8,1.74,1.59,2.12,1.63,1.42,3.83,3.69,3.15,4.15,4.83,3.71,6.57,5.3,4.45,5.15
f_0,1.76,1.59,1.88,1.8,1.7,1.83,3.44,3.25,3.48,3.77,4.14,4.9,3.86,4.94,6.37,4.56
a_0,1.7,1.66,1.83,1.93,1.91,1.37,3.34,3.55,3.4,3.76,3.15,3.9,5.23,5.42,4.16,4.94
h_0,2.01,1.62,1.84,1.75,1.81,1.69,2.98,3.88,3.75,3.64,3.42,3.76,3.6,3.96,3.85,5.61
e_0,2.18,1.71,1.83,1.66,1.72,1.37,3.61,3.15,3.72,3.5,3.8,3.67,4.39,5.56,5.74,4.79
g_0,1.67,1.54,2.22,1.8,1.85,1.7,2.94,2.58,3.72,3.24,3.5,4.91,4.11,4.64,4.49,4.43
