,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,0.81,1.2,1.02,0.83,0.86,0.73,0.99,0.59,0.71,0.69,0.64,0.56,0.66,0.63
f_1,1.25,1.0,0.93,1.0,0.85,0.8,0.55,0.66,0.54,0.6,0.49,0.6,0.5,0.55,0.46,0.51
d_1,1.24,1.07,1.0,0.9,0.93,0.82,0.71,0.6,0.6,0.84,0.62,0.65,0.63,0.63,0.5,0.42
c_1,0.83,0.99,1.1,1.0,1.49,0.84,0.74,0.58,0.5,0.5,0.6,0.53,0.63,0.61,0.58,0.62
b_1,0.97,1.19,1.08,0.67,1.0,1.32,0.65,0.68,0.71,0.75,0.66,0.6,0.64,0.5,0.64,0.63
a_1,1.21,1.24,1.22,1.21,0.76,1.0,0.89,0.89,0.75,0.75,0.74,0.9,0.72,0.69,0.77,0.65
h_1,1.21,1.78,1.48,1.37,1.41,1.13,1.0,1.04,0.95,0.77,0.74,0.95,0.82,0.75,0.77,1.0
g_1,1.32,1.46,1.71,1.7,1.46,1.1,0.98,1.0,0.78,0.96,1.12,0.91,0.66,0.78,0.76,0.7
d_0,1.07,1.71,1.67,2.14,1.33,1.33,1.13,1.22,1.0,0.85,0.96,0.91,0.86,0.89,0.9,0.99
c_0,1.72,1.65,1.13,1.78,1.3,1.39,1.31,1.05,1.12,1.0,1.17,1.29,0.97,1.0,0.76,0.91
f_0,1.29,2.05,1.59,1.67,1.62,1.38,1.37,0.9,1.1,0.82,1.0,0.9,0.98,0.83,1.45,0.79
b_0,1.49,1.7,1.44,1.97,1.73,1.07,1.04,1.23,1.13,0.74,1.21,1.0,0.97,1.45,0.96,0.93
h_0,1.6,1.89,1.62,1.56,1.52,1.32,1.12,1.52,1.18,1.02,1.03,1.01,1.0,1.05,0.83,1.05
a_0,1.76,1.8,1.57,1.8,2.0,1.32,1.31,1.36,1.08,1.03,1.17,0.68,0.94,1.0,0.97,1.26
e_0,1.71,2.14,1.99,1.75,1.54,1.33,1.27,1.28,1.17,1.29,0.75,1.13,1.25,0.94,1.0,0.81
g_0,1.64,1.92,2.47,1.59,1.61,1.64,1.03,1.47,1.03,1.12,1.3,1.07,0.95,0.72,1.23,1.0
